date,year,month,hungarian_index_of_prices,cents_per_crown_in_new_york,date
1921-07-01,1921.0,7.0,4200.0,0.3323,1921-07-01
1921-08-01,1921.0,8.0,5400.0,0.2629,1921-08-01
1921-09-01,1921.0,9.0,6250.0,0.1944,1921-09-01
1921-10-01,1921.0,10.0,6750.0,0.1432,1921-10-01
1921-11-01,1921.0,11.0,8300.0,0.1078,1921-11-01
1921-12-01,1921.0,12.0,8250.0,0.1512,1921-12-01
1922-01-01,1922.0,1.0,8100.0,0.1525,1922-01-01
1922-02-01,1922.0,2.0,8500.0,0.1497,1922-02-01
1922-03-01,1922.0,3.0,9900.0,0.1256,1922-03-01
1922-04-01,1922.0,4.0,10750.0,0.1258,1922-04-01
1922-05-01,1922.0,5.0,11000.0,0.1261,1922-05-01
1922-06-01,1922.0,6.0,12900.0,0.1079,1922-06-01
1922-07-01,1922.0,7.0,17400.0,0.076,1922-07-01
1922-08-01,1922.0,8.0,21400.0,0.0595,1922-08-01
1922-09-01,1922.0,9.0,26600.0,0.0423,1922-09-01
1922-10-01,1922.0,10.0,32900.0,0.0402,1922-10-01
1922-11-01,1922.0,11.0,32600.0,0.0413,1922-11-01
1922-12-01,1922.0,12.0,33400.0,0.043,1922-12-01
1923-01-01,1923.0,1.0,38500.0,0.0392,1923-01-01
1923-02-01,1923.0,2.0,41800.0,0.0395,1923-02-01
1923-03-01,1923.0,3.0,66000.0,0.0289,1923-03-01
1923-04-01,1923.0,4.0,83500.0,0.0217,1923-04-01
1923-05-01,1923.0,5.0,94000.0,0.0191,1923-05-01
1923-06-01,1923.0,6.0,144500.0,0.014,1923-06-01
1923-07-01,1923.0,7.0,286000.0,0.0097,1923-07-01
1923-08-01,1923.0,8.0,462500.0,0.0056,1923-08-01
1923-09-01,1923.0,9.0,554000.0,0.0055,1923-09-01
1923-10-01,1923.0,10.0,587000.0,0.0054,1923-10-01
1923-11-01,1923.0,11.0,635000.0,0.0054,1923-11-01
1923-12-01,1923.0,12.0,714000.0,0.0052,1923-12-01
1924-01-01,1924.0,1.0,1026000.0,0.0039,1924-01-01
1924-02-01,1924.0,2.0,1839100.0,0.0033,1924-02-01
1924-03-01,1924.0,3.0,2076700.0,0.0015,1924-03-01
1924-04-01,1924.0,4.0,2134600.0,0.0014,1924-04-01
1924-05-01,1924.0,5.0,2269600.0,0.0012,1924-05-01
1924-06-01,1924.0,6.0,2207800.0,0.0011,1924-06-01
1924-07-01,1924.0,7.0,2294500.0,0.0012,1924-07-01
1924-08-01,1924.0,8.0,2242000.0,0.0013,1924-08-01
1924-09-01,1924.0,9.0,2236600.0,0.0013,1924-09-01
1924-10-01,1924.0,10.0,2285200.0,0.0013,1924-10-01
1924-11-01,1924.0,11.0,2309500.0,0.0013,1924-11-01
1924-12-01,1924.0,12.0,2346600.0,0.0013,1924-12-01
1925-01-01,1925.0,1.0,2307500.0,0.0014,1925-01-01
1925-02-01,1925.0,2.0,2218700.0,0.0014,1925-02-01
1925-03-01,1925.0,3.0,2117800.0,0.0014,1925-03-01
