date,year,month,unemployed_in_thousands_of_workers,date
1924-01-01,1924.0,1.0,,1924-01-01
1924-02-01,1924.0,2.0,,1924-02-01
1924-03-01,1924.0,3.0,,1924-03-01
1924-04-01,1924.0,4.0,22.0,1924-04-01
1924-05-01,1924.0,5.0,23.0,1924-05-01
1924-06-01,1924.0,6.0,25.0,1924-06-01
1924-07-01,1924.0,7.0,31.0,1924-07-01
1924-08-01,1924.0,8.0,30.0,1924-08-01
1924-09-01,1924.0,9.0,20.0,1924-09-01
1924-10-01,1924.0,10.0,30.0,1924-10-01
1924-11-01,1924.0,11.0,31.0,1924-11-01
1924-12-01,1924.0,12.0,33.0,1924-12-01
1925-01-01,1925.0,1.0,37.0,1925-01-01
1925-02-01,1925.0,2.0,37.0,1925-02-01
1925-03-01,1925.0,3.0,37.0,1925-03-01
1925-04-01,1925.0,4.0,36.0,1925-04-01
1925-05-01,1925.0,5.0,30.0,1925-05-01
1925-06-01,1925.0,6.0,34.0,1925-06-01
1925-07-01,1925.0,7.0,32.0,1925-07-01
1925-08-01,1925.0,8.0,27.0,1925-08-01
1925-09-01,1925.0,9.0,25.0,1925-09-01
1925-10-01,1925.0,10.0,23.0,1925-10-01
1925-11-01,1925.0,11.0,26.0,1925-11-01
1925-12-01,1925.0,12.0,27.0,1925-12-01
1926-01-01,1926.0,1.0,28.0,1926-01-01
1926-02-01,1926.0,2.0,29.0,1926-02-01
1926-03-01,1926.0,3.0,29.0,1926-03-01
1926-04-01,1926.0,4.0,26.0,1926-04-01
1926-05-01,1926.0,5.0,28.0,1926-05-01
1926-06-01,1926.0,6.0,26.0,1926-06-01
