date,year,month,gold,silver_(including_base_coin),balances_with_foreign_banks,discounts,advances_commercial,advances_government,note_circulation,gold_and_silver_(together),date
1918-10-01,1918.0,10.0,,,,7.0,180.8,,880.2,,1918-10-01
1918-11-01,1918.0,11.0,,,,7.0,184.0,13.9,930.5,,1918-11-01
1918-12-01,1918.0,12.0,,,,6.4,183.7,117.8,1023.8,,1918-12-01
1919-01-01,1919.0,1.0,,,,5.0,194.7,209.9,1098.1,,1919-01-01
1919-02-01,1919.0,2.0,,,,4.2,196.4,315.0,1160.0,,1919-02-01
1919-03-01,1919.0,3.0,3.7,4.2,3.9,3.5,189.7,400.0,1223.2,,1919-03-01
1919-04-01,1919.0,4.0,3.7,4.4,9.4,2.5,192.8,575.0,1346.0,,1919-04-01
1919-05-01,1919.0,5.0,3.7,8.9,5.8,1.8,193.2,925.0,1548.3,,1919-05-01
1919-06-01,1919.0,6.0,4.9,14.8,14.6,1.3,185.9,1125.0,1784.6,,1919-06-01
1919-07-01,1919.0,7.0,5.7,20.1,13.3,1.1,193.9,1925.0,2087.9,,1919-07-01
1919-08-01,1919.0,8.0,6.1,20.5,20.3,0.7,107.4,2525.0,2466.6,,1919-08-01
1919-09-01,1919.0,9.0,6.3,21.6,69.8,0.1,218.9,3225.0,2964.7,,1919-09-01
1919-10-01,1919.0,10.0,6.5,24.3,91.0,0.3,242.4,4375.0,3723.6,,1919-10-01
1919-11-01,1919.0,11.0,6.6,24.6,151.6,3.4,270.2,5375.0,4236.21,,1919-11-01
1919-12-01,1919.0,12.0,6.6,25.5,344.6,3.9,243.8,6825.0,5316.3,,1919-12-01
1920-01-01,1920.0,1.0,6.6,25.5,244.1,3.7,278.5,8275.0,67198.9,,1920-01-01
1920-02-01,1920.0,2.0,6.8,25.9,565.7,6.4,303.0,10775.0,8300.3,,1920-02-01
1920-03-01,1920.0,3.0,6.8,25.9,685.4,8.2,319.1,14775.0,10690.6,,1920-03-01
1920-04-01,1920.0,4.0,6.8,25.9,685.5,14.8,316.7,19375.0,16027.9,,1920-04-01
1920-05-01,1920.0,5.0,6.8,25.9,565.7,47.2,320.9,22375.0,17934.7,,1920-05-01
1920-06-01,1920.0,6.0,6.8,25.9,894.7,161.4,488.2,27625.0,21730.1,,1920-06-01
1920-07-01,1920.0,7.0,6.8,25.9,1130.9,325.9,847.5,33375.0,26311.4,,1920-07-01
1920-08-01,1920.0,8.0,9.0,33.8,1273.4,465.8,1466.1,40625.0,31085.8,,1920-08-01
1920-09-01,1920.0,9.0,9.1,34.1,174.9,333.9,1862.9,40625.0,33203.5,,1920-09-01
1920-10-01,1920.0,10.0,9.5,34.4,236.7,259.1,2527.0,46925.0,38456.8,,1920-10-01
1920-11-01,1920.0,11.0,10.1,35.4,203.8,396.0,3278.4,49625.0,43236.2,,1920-11-01
1920-12-01,1920.0,12.0,12.4,37.6,80.7,611.6,3999.2,59625.0,49361.5,,1920-12-01
1921-01-01,1921.0,1.0,12.7,39.2,205.8,1040.2,4100.2,65625.0,55079.5,,1921-01-01
1921-02-01,1921.0,2.0,12.8,39.2,476.0,955.1,4143.5,77125.0,62560.4,,1921-02-01
1921-03-01,1921.0,3.0,13.1,39.8,908.5,781.0,4745.7,93625.0,74087.4,,1921-03-01
1921-04-01,1921.0,4.0,13.4,40.3,870.7,927.0,4994.4,106625.0,86755.3,,1921-04-01
1921-05-01,1921.0,5.0,13.5,40.1,536.5,1395.2,4979.0,117625.0,94575.8,,1921-05-01
1921-06-01,1921.0,6.0,14.3,41.1,493.6,1557.3,5306.5,130625.0,102697.3,,1921-06-01
1921-07-01,1921.0,7.0,19.1,41.5,601.3,2504.2,6291.5,140625.0,115242.3,,1921-07-01
1921-08-01,1921.0,8.0,19.2,42.0,368.7,3885.4,7776.9,158000.0,133734.2,,1921-08-01
1921-09-01,1921.0,9.0,19.4,42.5,1217.5,6237.3,9878.6,178000.0,152792.1,,1921-09-01
1921-10-01,1921.0,10.0,20.2,42.9,2341.3,9529.5,12022.3,198500.0,182777.3,,1921-10-01
1921-11-01,1921.0,11.0,22.6,43.5,7040.1,14347.2,15144.3,214000.0,207029.0,,1921-11-01
1921-12-01,1921.0,12.0,24.9,43.9,12707.9,15324.4,19300.0,221000.0,229537.6,,1921-12-01
1922-01-01,1922.0,1.0,26.3,44.2,13614.2,15951.6,21776.9,227350.0,239615.3,,1922-01-01
