date,year,month,wholesale_price_index,wholesale_price_index_on_paper_currency_basis,wholesale_price_index_on_zloty_basis,date
1921-01-01,1921.0,1.0,25139.0,,,1921-01-01
1921-02-01,1921.0,2.0,31827.0,,,1921-02-01
1921-03-01,1921.0,3.0,32882.0,,,1921-03-01
1921-04-01,1921.0,4.0,31710.0,,,1921-04-01
1921-05-01,1921.0,5.0,32639.0,,,1921-05-01
1921-06-01,1921.0,6.0,35392.0,,,1921-06-01
1921-07-01,1921.0,7.0,45654.0,,,1921-07-01
1921-08-01,1921.0,8.0,53100.0,,,1921-08-01
1921-09-01,1921.0,9.0,60203.0,,,1921-09-01
1921-10-01,1921.0,10.0,65539.0,,,1921-10-01
1921-11-01,1921.0,11.0,58583.0,,,1921-11-01
1921-12-01,1921.0,12.0,57046.0,,,1921-12-01
1922-01-01,1922.0,1.0,59231.0,,,1922-01-01
1922-02-01,1922.0,2.0,63445.0,,,1922-02-01
1922-03-01,1922.0,3.0,73465.0,,,1922-03-01
1922-04-01,1922.0,4.0,75106.0,,,1922-04-01
1922-05-01,1922.0,5.0,78634.0,,,1922-05-01
1922-06-01,1922.0,6.0,87694.0,,,1922-06-01
1922-07-01,1922.0,7.0,101587.0,,,1922-07-01
1922-08-01,1922.0,8.0,135786.0,,,1922-08-01
1922-09-01,1922.0,9.0,152365.0,,,1922-09-01
1922-10-01,1922.0,10.0,201326.0,,,1922-10-01
1922-11-01,1922.0,11.0,275647.0,,,1922-11-01
1922-12-01,1922.0,12.0,346353.0,,,1922-12-01
1923-01-01,1923.0,1.0,544690.0,,,1923-01-01
1923-02-01,1923.0,2.0,859110.0,,,1923-02-01
1923-03-01,1923.0,3.0,988500.0,,,1923-03-01
1923-04-01,1923.0,4.0,988500.0,1058920.0,,1923-04-01
1923-05-01,1923.0,5.0,,1125350.0,,1923-05-01
1923-06-01,1923.0,6.0,,1881410.0,,1923-06-01
1923-07-01,1923.0,7.0,,3069970.0,,1923-07-01
1923-08-01,1923.0,8.0,,5294680.0,89.0,1923-08-01
1923-09-01,1923.0,9.0,,7302200.0,95.0,1923-09-01
1923-10-01,1923.0,10.0,,27380680.0,73.0,1923-10-01
1923-11-01,1923.0,11.0,,67943700.0,81.0,1923-11-01
1923-12-01,1923.0,12.0,,142300700.0,95.0,1923-12-01
1924-01-01,1924.0,1.0,,242167700.0,107.0,1924-01-01
1924-02-01,1924.0,2.0,,248429600.0,112.0,1924-02-01
1924-03-01,1924.0,3.0,,245277900.0,110.0,1924-03-01
1924-04-01,1924.0,4.0,,242321800.0,109.0,1924-04-01
1924-05-01,1924.0,5.0,,,104.0,1924-05-01
1924-06-01,1924.0,6.0,,,101.0,1924-06-01
1924-07-01,1924.0,7.0,,,102.0,1924-07-01
1924-08-01,1924.0,8.0,,,109.0,1924-08-01
1924-09-01,1924.0,9.0,,,112.0,1924-09-01
1924-10-01,1924.0,10.0,,,116.0,1924-10-01
1924-11-01,1924.0,11.0,,,117.0,1924-11-01
1924-12-01,1924.0,12.0,,,118.0,1924-12-01
1925-01-01,1925.0,1.0,,,120.0,1925-01-01
1925-02-01,1925.0,2.0,,,121.0,1925-02-01
1925-03-01,1925.0,3.0,,,122.0,1925-03-01
1925-04-01,1925.0,4.0,,,118.0,1925-04-01
1925-05-01,1925.0,5.0,,,118.0,1925-05-01
