date,year,month,cents_per_polish_mark_(zloty_after_may_1924),date
1919-07-01,1919.0,7.0,6.88,1919-07-01
1919-08-01,1919.0,8.0,5.63,1919-08-01
1919-09-01,1919.0,9.0,3.88,1919-09-01
1919-10-01,1919.0,10.0,3.08,1919-10-01
1919-11-01,1919.0,11.0,1.88,1919-11-01
1919-12-01,1919.0,12.0,1.29,1919-12-01
1920-01-01,1920.0,1.0,0.7,1920-01-01
1920-02-01,1920.0,2.0,0.68,1920-02-01
1920-03-01,1920.0,3.0,0.67,1920-03-01
1920-04-01,1920.0,4.0,0.6,1920-04-01
1920-05-01,1920.0,5.0,0.51,1920-05-01
1920-06-01,1920.0,6.0,0.59,1920-06-01
1920-07-01,1920.0,7.0,0.61,1920-07-01
1920-08-01,1920.0,8.0,0.47,1920-08-01
1920-09-01,1920.0,9.0,0.45,1920-09-01
1920-10-01,1920.0,10.0,0.37,1920-10-01
1920-11-01,1920.0,11.0,0.26,1920-11-01
1920-12-01,1920.0,12.0,0.16,1920-12-01
1921-01-01,1921.0,1.0,0.145,1921-01-01
1921-02-01,1921.0,2.0,0.13,1921-02-01
1921-03-01,1921.0,3.0,0.132,1921-03-01
1921-04-01,1921.0,4.0,0.13,1921-04-01
1921-05-01,1921.0,5.0,0.124,1921-05-01
1921-06-01,1921.0,6.0,0.082,1921-06-01
1921-07-01,1921.0,7.0,0.0516,1921-07-01
1921-08-01,1921.0,8.0,0.0489,1921-08-01
1921-09-01,1921.0,9.0,0.0256,1921-09-01
1921-10-01,1921.0,10.0,0.0212,1921-10-01
1921-11-01,1921.0,11.0,0.029,1921-11-01
1921-12-01,1921.0,12.0,0.0313,1921-12-01
1922-01-01,1922.0,1.0,0.0327,1922-01-01
1922-02-01,1922.0,2.0,0.0286,1922-02-01
1922-03-01,1922.0,3.0,0.0236,1922-03-01
1922-04-01,1922.0,4.0,0.0262,1922-04-01
1922-05-01,1922.0,5.0,0.0249,1922-05-01
1922-06-01,1922.0,6.0,0.0237,1922-06-01
1922-07-01,1922.0,7.0,0.0185,1922-07-01
1922-08-01,1922.0,8.0,0.0135,1922-08-01
1922-09-01,1922.0,9.0,0.0127,1922-09-01
1922-10-01,1922.0,10.0,0.0095,1922-10-01
1922-11-01,1922.0,11.0,0.0065,1922-11-01
1922-12-01,1922.0,12.0,0.0057,1922-12-01
1923-01-01,1923.0,1.0,0.0043,1923-01-01
1923-02-01,1923.0,2.0,0.0025,1923-02-01
1923-03-01,1923.0,3.0,0.0024,1923-03-01
1923-04-01,1923.0,4.0,0.0023,1923-04-01
1923-05-01,1923.0,5.0,0.0021,1923-05-01
1923-06-01,1923.0,6.0,0.0013,1923-06-01
1923-07-01,1923.0,7.0,0.0007,1923-07-01
1923-08-01,1923.0,8.0,0.0004,1923-08-01
1923-09-01,1923.0,9.0,0.00035,1923-09-01
1923-10-01,1923.0,10.0,0.0001113,1923-10-01
1923-11-01,1923.0,11.0,5.02e-05,1923-11-01
1923-12-01,1923.0,12.0,2.34e-05,1923-12-01
1924-01-01,1924.0,1.0,1.16e-05,1924-01-01
1924-02-01,1924.0,2.0,1.09e-05,1924-02-01
1924-03-01,1924.0,3.0,1.13e-05,1924-03-01
1924-04-01,1924.0,4.0,1.14e-05,1924-04-01
1924-05-01,1924.0,5.0,,1924-05-01
1924-06-01,1924.0,6.0,10.29,1924-06-01
1924-07-01,1924.0,7.0,19.25,1924-07-01
1924-08-01,1924.0,8.0,19.23,1924-08-01
1924-09-01,1924.0,9.0,19.22,1924-09-01
1924-10-01,1924.0,10.0,19.22,1924-10-01
1924-11-01,1924.0,11.0,19.21,1924-11-01
1924-12-01,1924.0,12.0,19.2,1924-12-01
1925-01-01,1925.0,1.0,19.18,1925-01-01
1925-02-01,1925.0,2.0,19.18,1925-02-01
1925-03-01,1925.0,3.0,19.18,1925-03-01
1925-04-01,1925.0,4.0,19.18,1925-04-01
1925-05-01,1925.0,5.0,19.18,1925-05-01
1925-06-01,1925.0,6.0,19.18,1925-06-01
