date,year,month,number_unemployed,date
1921-01-01,1921.0,1.0,74000.0,1921-01-01
1921-02-01,1921.0,2.0,90000.0,1921-02-01
1921-03-01,1921.0,3.0,80000.0,1921-03-01
1921-04-01,1921.0,4.0,88000.0,1921-04-01
1921-05-01,1921.0,5.0,130000.0,1921-05-01
1921-06-01,1921.0,6.0,115000.0,1921-06-01
1921-07-01,1921.0,7.0,95000.0,1921-07-01
1921-08-01,1921.0,8.0,65000.0,1921-08-01
1921-09-01,1921.0,9.0,70000.0,1921-09-01
1921-10-01,1921.0,10.0,78000.0,1921-10-01
1921-11-01,1921.0,11.0,120000.0,1921-11-01
1921-12-01,1921.0,12.0,173000.0,1921-12-01
1922-01-01,1922.0,1.0,221444.0,1922-01-01
1922-02-01,1922.0,2.0,206442.0,1922-02-01
1922-03-01,1922.0,3.0,170125.0,1922-03-01
1922-04-01,1922.0,4.0,148625.0,1922-04-01
1922-05-01,1922.0,5.0,128916.0,1922-05-01
1922-06-01,1922.0,6.0,98581.0,1922-06-01
1922-07-01,1922.0,7.0,85240.0,1922-07-01
1922-08-01,1922.0,8.0,69692.0,1922-08-01
1922-09-01,1922.0,9.0,68000.0,1922-09-01
1922-10-01,1922.0,10.0,61000.0,1922-10-01
1922-11-01,1922.0,11.0,62000.0,1922-11-01
1922-12-01,1922.0,12.0,75000.0,1922-12-01
1923-01-01,1923.0,1.0,81184.0,1923-01-01
1923-02-01,1923.0,2.0,106729.0,1923-02-01
1923-03-01,1923.0,3.0,114576.0,1923-03-01
1923-04-01,1923.0,4.0,112755.0,1923-04-01
1923-05-01,1923.0,5.0,93731.0,1923-05-01
1923-06-01,1923.0,6.0,76397.0,1923-06-01
1923-07-01,1923.0,7.0,64563.0,1923-07-01
1923-08-01,1923.0,8.0,56515.0,1923-08-01
1923-09-01,1923.0,9.0,,1923-09-01
1923-10-01,1923.0,10.0,,1923-10-01
1923-11-01,1923.0,11.0,,1923-11-01
1923-12-01,1923.0,12.0,67581.0,1923-12-01
1924-01-01,1924.0,1.0,100580.0,1924-01-01
1924-02-01,1924.0,2.0,110737.0,1924-02-01
1924-03-01,1924.0,3.0,112583.0,1924-03-01
1924-04-01,1924.0,4.0,109000.0,1924-04-01
1924-05-01,1924.0,5.0,84000.0,1924-05-01
1924-06-01,1924.0,6.0,97870.0,1924-06-01
1924-07-01,1924.0,7.0,149097.0,1924-07-01
1924-08-01,1924.0,8.0,159820.0,1924-08-01
1924-09-01,1924.0,9.0,155245.0,1924-09-01
1924-10-01,1924.0,10.0,147065.0,1924-10-01
1924-11-01,1924.0,11.0,150180.0,1924-11-01
1924-12-01,1924.0,12.0,159060.0,1924-12-01
