date,year,month,price_index_(on_basis_of_marks_before_july_1924__reichsmarks_after),date
1914-01-01,1914.0,1.0,96.0,1914-01-01
1914-02-01,1914.0,2.0,96.0,1914-02-01
1914-03-01,1914.0,3.0,96.0,1914-03-01
1914-04-01,1914.0,4.0,95.0,1914-04-01
1914-05-01,1914.0,5.0,97.0,1914-05-01
1914-06-01,1914.0,6.0,99.0,1914-06-01
1914-07-01,1914.0,7.0,99.0,1914-07-01
1914-08-01,1914.0,8.0,109.0,1914-08-01
1914-09-01,1914.0,9.0,111.0,1914-09-01
1914-10-01,1914.0,10.0,118.0,1914-10-01
1914-11-01,1914.0,11.0,123.0,1914-11-01
1914-12-01,1914.0,12.0,125.0,1914-12-01
1915-01-01,1915.0,1.0,126.0,1915-01-01
1915-02-01,1915.0,2.0,133.0,1915-02-01
1915-03-01,1915.0,3.0,139.0,1915-03-01
1915-04-01,1915.0,4.0,142.0,1915-04-01
1915-05-01,1915.0,5.0,139.0,1915-05-01
1915-06-01,1915.0,6.0,139.0,1915-06-01
1915-07-01,1915.0,7.0,150.0,1915-07-01
1915-08-01,1915.0,8.0,146.0,1915-08-01
1915-09-01,1915.0,9.0,145.0,1915-09-01
1915-10-01,1915.0,10.0,147.0,1915-10-01
1915-11-01,1915.0,11.0,147.0,1915-11-01
1915-12-01,1915.0,12.0,148.0,1915-12-01
1916-01-01,1916.0,1.0,150.0,1916-01-01
1916-02-01,1916.0,2.0,151.0,1916-02-01
1916-03-01,1916.0,3.0,148.0,1916-03-01
1916-04-01,1916.0,4.0,149.0,1916-04-01
1916-05-01,1916.0,5.0,151.0,1916-05-01
1916-06-01,1916.0,6.0,152.0,1916-06-01
1916-07-01,1916.0,7.0,161.0,1916-07-01
1916-08-01,1916.0,8.0,159.0,1916-08-01
1916-09-01,1916.0,9.0,154.0,1916-09-01
1916-10-01,1916.0,10.0,153.0,1916-10-01
1916-11-01,1916.0,11.0,151.0,1916-11-01
1916-12-01,1916.0,12.0,151.0,1916-12-01
1917-01-01,1917.0,1.0,156.0,1917-01-01
1917-02-01,1917.0,2.0,158.0,1917-02-01
1917-03-01,1917.0,3.0,159.0,1917-03-01
1917-04-01,1917.0,4.0,163.0,1917-04-01
1917-05-01,1917.0,5.0,163.0,1917-05-01
1917-06-01,1917.0,6.0,165.0,1917-06-01
1917-07-01,1917.0,7.0,172.0,1917-07-01
1917-08-01,1917.0,8.0,203.0,1917-08-01
1917-09-01,1917.0,9.0,199.0,1917-09-01
1917-10-01,1917.0,10.0,201.0,1917-10-01
1917-11-01,1917.0,11.0,203.0,1917-11-01
1917-12-01,1917.0,12.0,203.0,1917-12-01
1918-01-01,1918.0,1.0,204.0,1918-01-01
1918-02-01,1918.0,2.0,198.0,1918-02-01
1918-03-01,1918.0,3.0,198.0,1918-03-01
1918-04-01,1918.0,4.0,204.0,1918-04-01
1918-05-01,1918.0,5.0,203.0,1918-05-01
1918-06-01,1918.0,6.0,209.0,1918-06-01
1918-07-01,1918.0,7.0,208.0,1918-07-01
1918-08-01,1918.0,8.0,235.0,1918-08-01
1918-09-01,1918.0,9.0,230.0,1918-09-01
1918-10-01,1918.0,10.0,234.0,1918-10-01
1918-11-01,1918.0,11.0,234.0,1918-11-01
1918-12-01,1918.0,12.0,245.0,1918-12-01
1919-01-01,1919.0,1.0,262.0,1919-01-01
1919-02-01,1919.0,2.0,270.0,1919-02-01
1919-03-01,1919.0,3.0,274.0,1919-03-01
1919-04-01,1919.0,4.0,286.0,1919-04-01
1919-05-01,1919.0,5.0,297.0,1919-05-01
1919-06-01,1919.0,6.0,308.0,1919-06-01
1919-07-01,1919.0,7.0,339.0,1919-07-01
1919-08-01,1919.0,8.0,422.0,1919-08-01
1919-09-01,1919.0,9.0,493.0,1919-09-01
1919-10-01,1919.0,10.0,562.0,1919-10-01
1919-11-01,1919.0,11.0,678.0,1919-11-01
1919-12-01,1919.0,12.0,803.0,1919-12-01
1920-01-01,1920.0,1.0,1260.0,1920-01-01
1920-02-01,1920.0,2.0,1690.0,1920-02-01
1920-03-01,1920.0,3.0,1710.0,1920-03-01
1920-04-01,1920.0,4.0,1570.0,1920-04-01
