date,year,month,cents_per_mark,date
1920-01-01,1920.0,1.0,1.69,1920-01-01
1920-02-01,1920.0,2.0,1.05,1920-02-01
1920-03-01,1920.0,3.0,1.26,1920-03-01
1920-04-01,1920.0,4.0,1.67,1920-04-01
1920-05-01,1920.0,5.0,2.19,1920-05-01
1920-06-01,1920.0,6.0,2.56,1920-06-01
1920-07-01,1920.0,7.0,2.53,1920-07-01
1920-08-01,1920.0,8.0,2.1,1920-08-01
1920-09-01,1920.0,9.0,1.72,1920-09-01
1920-10-01,1920.0,10.0,1.48,1920-10-01
1920-11-01,1920.0,11.0,1.32,1920-11-01
1920-12-01,1920.0,12.0,1.37,1920-12-01
1921-01-01,1921.0,1.0,1.6,1921-01-01
1921-02-01,1921.0,2.0,1.64,1921-02-01
1921-03-01,1921.0,3.0,1.6,1921-03-01
1921-04-01,1921.0,4.0,1.57,1921-04-01
1921-05-01,1921.0,5.0,1.63,1921-05-01
1921-06-01,1921.0,6.0,1.44,1921-06-01
1921-07-01,1921.0,7.0,1.3,1921-07-01
1921-08-01,1921.0,8.0,1.19,1921-08-01
1921-09-01,1921.0,9.0,0.96,1921-09-01
1921-10-01,1921.0,10.0,0.68,1921-10-01
1921-11-01,1921.0,11.0,0.39,1921-11-01
1921-12-01,1921.0,12.0,0.53,1921-12-01
1922-01-01,1922.0,1.0,0.52,1922-01-01
1922-02-01,1922.0,2.0,0.48,1922-02-01
1922-03-01,1922.0,3.0,0.36,1922-03-01
1922-04-01,1922.0,4.0,0.35,1922-04-01
1922-05-01,1922.0,5.0,0.34,1922-05-01
1922-06-01,1922.0,6.0,0.32,1922-06-01
1922-07-01,1922.0,7.0,0.2,1922-07-01
1922-08-01,1922.0,8.0,0.1,1922-08-01
1922-09-01,1922.0,9.0,0.07,1922-09-01
1922-10-01,1922.0,10.0,0.03,1922-10-01
1922-11-01,1922.0,11.0,0.01,1922-11-01
1922-12-01,1922.0,12.0,0.01,1922-12-01
1923-01-01,1923.0,1.0,0.007,1923-01-01
1923-02-01,1923.0,2.0,0.004,1923-02-01
1923-03-01,1923.0,3.0,0.005,1923-03-01
1923-04-01,1923.0,4.0,0.004,1923-04-01
1923-05-01,1923.0,5.0,0.002,1923-05-01
1923-06-01,1923.0,6.0,0.001,1923-06-01
1923-07-01,1923.0,7.0,0.0003,1923-07-01
1923-08-01,1923.0,8.0,3.39e-05,1923-08-01
1923-09-01,1923.0,9.0,1.88e-06,1923-09-01
1923-10-01,1923.0,10.0,6.8e-08,1923-10-01
1923-11-01,1923.0,11.0,4.3e-11,1923-11-01
1923-12-01,1923.0,12.0,2.27e-11,1923-12-01
1924-01-01,1924.0,1.0,22.6,1924-01-01
1924-02-01,1924.0,2.0,21.8,1924-02-01
1924-03-01,1924.0,3.0,22.0,1924-03-01
1924-04-01,1924.0,4.0,22.0,1924-04-01
1924-05-01,1924.0,5.0,22.3,1924-05-01
1924-06-01,1924.0,6.0,23.4,1924-06-01
1924-07-01,1924.0,7.0,23.9,1924-07-01
1924-08-01,1924.0,8.0,23.8,1924-08-01
1924-09-01,1924.0,9.0,23.8,1924-09-01
1924-10-01,1924.0,10.0,23.8,1924-10-01
1924-11-01,1924.0,11.0,23.8,1924-11-01
1924-12-01,1924.0,12.0,23.8,1924-12-01
1925-01-01,1925.0,1.0,23.8,1925-01-01
