date,year,month,day,gold_held_abroad,gold_in_vault,gold_total,other_metallic_currency,total_coin_and_bullion,foreign_exchange,treasury_and_loan_bank_notes,notes_of_other_banks,rentenbank_notes,discounted_bills_treasury_bills,discounted_bills_commercial_bills,total_discounted_treasury_and_commercial_bills,advances,securities,notes_in_circulation,public_demand_deposits,other_demand_deposits,total_demand_deposits,demand_deposits_due_to_the_rentenbank,date
1921-01-01,1921.0,1.0,,,,1091635.0,6377.0,1098012.0,,22810443.0,2266.0,,50594540.0,2742406.0,53336946.0,8881.0,147126.0,66620804.0,4055904.0,11778060.0,15833964.0,,1921-01-01
1921-02-01,1921.0,2.0,,,,1091616.0,7974.0,1099590.0,,21982303.0,1502.0,,53690412.0,2760927.0,56451339.0,11522.0,185788.0,67426959.0,7291052.0,10066036.0,17357088.0,,1921-02-01
1921-03-01,1921.0,3.0,,,,1091604.0,9012.0,1100616.0,,23836278.0,1407.0,,64533894.0,2268745.0,66802639.0,2805.0,217044.0,69417228.0,15206381.0,12836292.0,28042673.0,,1921-03-01
1921-04-01,1921.0,4.0,,,,1091579.0,8857.0,1100436.0,,24149059.0,1393.0,,58841630.0,2052099.0,60893729.0,9238.0,225777.0,70839725.0,11595618.0,9260271.0,20855889.0,,1921-04-01
1921-05-01,1921.0,5.0,,,,1091574.0,9482.0,1101056.0,,14361888.0,2000.0,,62953604.0,1809936.0,64763540.0,16624.0,258664.0,71838866.0,3548492.0,10545201.0,14093693.0,,1921-05-01
1921-06-01,1921.0,6.0,,,,1091563.0,11205.0,1102768.0,,8311208.0,1738.0,,79607790.0,1565406.0,81173496.0,6079.0,282716.0,75321095.0,5647805.0,14744903.0,20392708.0,,1921-06-01
1921-07-01,1921.0,7.0,,,,1091557.0,14258.0,1105815.0,,5397594.0,1198.0,,79981967.0,1135529.0,81117496.0,10686.0,283381.0,77390853.0,4810026.0,11014130.0,15824156.0,,1921-07-01
1921-08-01,1921.0,8.0,,,,1023708.0,16848.0,1040556.0,,3044888.0,3644.0,,84043891.0,1002497.0,85046388.0,7704.0,258319.0,80072721.0,4850843.0,8798756.0,13649599.0,,1921-08-01
1921-09-01,1921.0,9.0,,,,1023704.0,16064.0,1039768.0,,3128791.0,2618.0,,98422137.0,1142218.0,99564355.0,3289.0,277977.0,86384286.0,4618087.0,15362208.0,19980295.0,,1921-09-01
1921-10-01,1921.0,10.0,,,,993631.0,14237.0,1007868.0,,4589992.0,3082.0,,98704768.0,881474.0,99586242.0,47775.0,282179.0,91527679.0,5239628.0,13063035.0,18302663.0,,1921-10-01
