date,year,month,ordinary_revenue_total,ordinary_revenue_of_which_taxes_yielded,ordinary_expenditures,excess_of_revenue_(+)_or_expenditure_(-),date
1923-11-01,1923.0,11.0,68.1,63.2,,,1923-11-01
1923-12-01,1923.0,12.0,333.9,312.3,668.7,-334.8,1923-12-01
1924-01-01,1924.0,1.0,520.6,503.5,396.5,124.1,1924-01-01
1924-02-01,1924.0,2.0,445.0,418.0,462.8,-17.8,1924-02-01
1924-03-01,1924.0,3.0,632.4,595.3,498.6,133.8,1924-03-01
1924-04-01,1924.0,4.0,579.5,523.8,523.5,56.0,1924-04-01
1924-05-01,1924.0,5.0,566.7,518.7,459.1,107.6,1924-05-01
1924-06-01,1924.0,6.0,529.7,472.3,504.5,25.2,1924-06-01
1924-07-01,1924.0,7.0,622.2,583.1,535.1,86.9,1924-07-01
1924-08-01,1924.0,8.0,618.2,592.0,597.6,20.6,1924-08-01
1924-09-01,1924.0,9.0,665.6,609.2,581.6,84.0,1924-09-01
1924-10-01,1924.0,10.0,714.3,686.7,693.0,21.3,1924-10-01
