,,year,type,ordinary_revenue,extraordinary_revenue,total_revenue,ordinary_expenditure,extraordinary_revenue.1,total,deﬁcit_(-)_or_surplus_(+),date
1919-01-01,Estimated ,1919.0,Estimated ,2614.0,1096.0,3710.0,2610.0,6005.0,8615.0,-4905.0,1919-01-01
1919-01-01,Actual,1919.0,Actual,,,,,,7450.0,,1919-01-01
1920-01-01,Estimated,1920.0,Estimated,7950.0,2477.0,10427.0,7175.0,8103.0,15278.0,-4851.0,1920-01-01
1920-01-01, Actual,1920.0, Actual,,,13455.0,,,13931.0,-476.0,1920-01-01
1921-01-01,Estimated,1921.0,Estimated,15923.0,1376.0,17299.0,10672.0,7354.0,18026.0,-727.0,1921-01-01
1921-01-01,Actual,1921.0,Actual,,,21894.0,,,18558.0,3336.0,1921-01-01
1922-01-01,Estimated,1922.0,Estimated,17291.0,1593.0,18884.0,13289.0,6524.0,19813.0,-929.0,1922-01-01
1922-01-01,Actual,1922.0,Actual,,,17733.0,,,18663.0,-930.0,1922-01-01
1923-01-01,Estimated,1923.0,Estimated,17961.0,851.0,18812.0,13605.0,5773.0,19378.0,-565.0,1923-01-01
1923-01-01,Actual,1923.0,Actual,,,15664.0,,,16540.0,-876.0,1923-01-01
1924-01-01,Estimated,1924.0,Estimated,15987.0,404.0,16391.0,12200.0,4703.0,16993.0,-603.0,1924-01-01
1924-01-01,Actual,1924.0,Actual,,,,,,,,1924-01-01
1925-01-01,Estimated ,1925.0,Estimated ,,,15702.0,,,15974.0,-272.0,1925-01-01
1925-01-01,Actual,1925.0,Actual,,,,,,,,1925-01-01
