date,year,month,state_notes_in_circulation,date
1919-04-01,1919.0,4.0,,1919-04-01
1919-05-01,1919.0,5.0,,1919-05-01
1919-06-01,1919.0,6.0,,1919-06-01
1919-07-01,1919.0,7.0,161106.0,1919-07-01
1919-08-01,1919.0,8.0,664997.0,1919-08-01
1919-09-01,1919.0,9.0,1443570.0,1919-09-01
1919-10-01,1919.0,10.0,2512199.0,1919-10-01
1919-11-01,1919.0,11.0,3513405.0,1919-11-01
1919-12-01,1919.0,12.0,4723303.0,1919-12-01
1920-01-01,1920.0,1.0,5574688.0,1920-01-01
1920-02-01,1920.0,2.0,6462825.0,1920-02-01
1920-03-01,1920.0,3.0,7216438.0,1920-03-01
1920-04-01,1920.0,4.0,7216438.0,1920-04-01
1920-05-01,1920.0,5.0,8268695.0,1920-05-01
1920-06-01,1920.0,6.0,9729233.0,1920-06-01
1920-07-01,1920.0,7.0,9267874.0,1920-07-01
1920-08-01,1920.0,8.0,9814920.0,1920-08-01
1920-09-01,1920.0,9.0,10310228.0,1920-09-01
1920-10-01,1920.0,10.0,10920514.0,1920-10-01
1920-11-01,1920.0,11.0,10946653.0,1920-11-01
1920-12-01,1920.0,12.0,11288512.0,1920-12-01
1921-01-01,1921.0,1.0,10888319.0,1921-01-01
1921-02-01,1921.0,2.0,10914786.0,1921-02-01
1921-03-01,1921.0,3.0,10921956.0,1921-03-01
1921-04-01,1921.0,4.0,10928560.0,1921-04-01
1921-05-01,1921.0,5.0,10851403.0,1921-05-01
1921-06-01,1921.0,6.0,11167515.0,1921-06-01
1921-07-01,1921.0,7.0,11134327.0,1921-07-01
1921-08-01,1921.0,8.0,11455175.0,1921-08-01
1921-09-01,1921.0,9.0,11570881.0,1921-09-01
1921-10-01,1921.0,10.0,12327159.0,1921-10-01
1921-11-01,1921.0,11.0,11871647.0,1921-11-01
1921-12-01,1921.0,12.0,12129573.0,1921-12-01
1922-01-01,1922.0,1.0,11230065.0,1922-01-01
1922-02-01,1922.0,2.0,10743958.0,1922-02-01
1922-03-01,1922.0,3.0,10323069.0,1922-03-01
1922-04-01,1922.0,4.0,10075757.0,1922-04-01
1922-05-01,1922.0,5.0,9717750.0,1922-05-01
1922-06-01,1922.0,6.0,9838205.0,1922-06-01
1922-07-01,1922.0,7.0,9916077.0,1922-07-01
1922-08-01,1922.0,8.0,10171383.0,1922-08-01
1922-09-01,1922.0,9.0,10196880.0,1922-09-01
1922-10-01,1922.0,10.0,10139366.0,1922-10-01
1922-11-01,1922.0,11.0,9996550.0,1922-11-01
1922-12-01,1922.0,12.0,10064049.0,1922-12-01
1923-01-01,1923.0,1.0,9222434.0,1923-01-01
1923-02-01,1923.0,2.0,8947988.0,1923-02-01
1923-03-01,1923.0,3.0,9157407.0,1923-03-01
1923-04-01,1923.0,4.0,9567369.0,1923-04-01
1923-05-01,1923.0,5.0,9327676.0,1923-05-01
1923-06-01,1923.0,6.0,9375991.0,1923-06-01
1923-07-01,1923.0,7.0,9448086.0,1923-07-01
1923-08-01,1923.0,8.0,9218475.0,1923-08-01
1923-09-01,1923.0,9.0,9311378.0,1923-09-01
1923-10-01,1923.0,10.0,9278999.0,1923-10-01
1923-11-01,1923.0,11.0,9250688.0,1923-11-01
1923-12-01,1923.0,12.0,9598903.0,1923-12-01
1924-01-01,1924.0,1.0,8820093.0,1924-01-01
1924-02-01,1924.0,2.0,8506467.0,1924-02-01
1924-03-01,1924.0,3.0,8280390.0,1924-03-01
1924-04-01,1924.0,4.0,8198653.0,1924-04-01
1924-05-01,1924.0,5.0,9078418.0,1924-05-01
1924-06-01,1924.0,6.0,8081106.0,1924-06-01
1924-07-01,1924.0,7.0,8090034.0,1924-07-01
1924-08-01,1924.0,8.0,9139792.0,1924-08-01
1924-09-01,1924.0,9.0,8222658.0,1924-09-01
1924-10-01,1924.0,10.0,8585847.0,1924-10-01
1924-11-01,1924.0,11.0,8500942.0,1924-11-01
1924-12-01,1924.0,12.0,8810357.0,1924-12-01
1925-01-01,1925.0,1.0,7916540.0,1925-01-01
1925-02-01,1925.0,2.0,7727880.0,1925-02-01
1925-03-01,1925.0,3.0,7680867.0,1925-03-01
1925-04-01,1925.0,4.0,7525934.0,1925-04-01
