date,year,month,cents_per_crown,date
1919-01-01,1919.0,1.0,,1919-01-01
1919-02-01,1919.0,2.0,,1919-02-01
1919-03-01,1919.0,3.0,,1919-03-01
1919-04-01,1919.0,4.0,6.135,1919-04-01
1919-05-01,1919.0,5.0,,1919-05-01
1919-06-01,1919.0,6.0,,1919-06-01
1919-07-01,1919.0,7.0,5.625,1919-07-01
1919-08-01,1919.0,8.0,4.575,1919-08-01
1919-09-01,1919.0,9.0,4.575,1919-09-01
1919-10-01,1919.0,10.0,3.1,1919-10-01
1919-11-01,1919.0,11.0,1.95,1919-11-01
1919-12-01,1919.0,12.0,1.9,1919-12-01
1920-01-01,1920.0,1.0,1.425,1920-01-01
1920-02-01,1920.0,2.0,0.975,1920-02-01
1920-03-01,1920.0,3.0,1.275,1920-03-01
1920-04-01,1920.0,4.0,1.53,1920-04-01
1920-05-01,1920.0,5.0,2.195,1920-05-01
1920-06-01,1920.0,6.0,2.335,1920-06-01
1920-07-01,1920.0,7.0,2.195,1920-07-01
1920-08-01,1920.0,8.0,1.81,1920-08-01
1920-09-01,1920.0,9.0,1.535,1920-09-01
1920-10-01,1920.0,10.0,1.245,1920-10-01
1920-11-01,1920.0,11.0,1.165,1920-11-01
1920-12-01,1920.0,12.0,1.19,1920-12-01
1921-01-01,1921.0,1.0,1.3,1921-01-01
1921-02-01,1921.0,2.0,1.29,1921-02-01
1921-03-01,1921.0,3.0,1.307,1921-03-01
1921-04-01,1921.0,4.0,1.365,1921-04-01
1921-05-01,1921.0,5.0,1.46,1921-05-01
1921-06-01,1921.0,6.0,1.42,1921-06-01
1921-07-01,1921.0,7.0,1.312,1921-07-01
1921-08-01,1921.0,8.0,1.225,1921-08-01
1921-09-01,1921.0,9.0,1.16,1921-09-01
1921-10-01,1921.0,10.0,1.049,1921-10-01
1921-11-01,1921.0,11.0,1.038,1921-11-01
1921-12-01,1921.0,12.0,1.249,1921-12-01
1922-01-01,1922.0,1.0,1.732,1922-01-01
1922-02-01,1922.0,2.0,1.855,1922-02-01
1922-03-01,1922.0,3.0,1.733,1922-03-01
1922-04-01,1922.0,4.0,1.96,1922-04-01
1922-05-01,1922.0,5.0,1.921,1922-05-01
1922-06-01,1922.0,6.0,1.924,1922-06-01
1922-07-01,1922.0,7.0,2.185,1922-07-01
1922-08-01,1922.0,8.0,2.902,1922-08-01
1922-09-01,1922.0,9.0,3.231,1922-09-01
1922-10-01,1922.0,10.0,3.285,1922-10-01
1922-11-01,1922.0,11.0,3.176,1922-11-01
1922-12-01,1922.0,12.0,3.097,1922-12-01
1923-01-01,1923.0,1.0,2.856,1923-01-01
1923-02-01,1923.0,2.0,2.958,1923-02-01
1923-03-01,1923.0,3.0,2.969,1923-03-01
1923-04-01,1923.0,4.0,2.978,1923-04-01
1923-05-01,1923.0,5.0,2.979,1923-05-01
1923-06-01,1923.0,6.0,2.993,1923-06-01
1923-07-01,1923.0,7.0,2.997,1923-07-01
1923-08-01,1923.0,8.0,2.934,1923-08-01
1923-09-01,1923.0,9.0,2.995,1923-09-01
1923-10-01,1923.0,10.0,2.971,1923-10-01
1923-11-01,1923.0,11.0,2.906,1923-11-01
1923-12-01,1923.0,12.0,2.925,1923-12-01
1924-01-01,1924.0,1.0,2.898,1924-01-01
1924-02-01,1924.0,2.0,2.902,1924-02-01
1924-03-01,1924.0,3.0,2.902,1924-03-01
1924-04-01,1924.0,4.0,2.957,1924-04-01
1924-05-01,1924.0,5.0,2.939,1924-05-01
1924-06-01,1924.0,6.0,2.936,1924-06-01
1924-07-01,1924.0,7.0,2.953,1924-07-01
1924-08-01,1924.0,8.0,2.979,1924-08-01
1924-09-01,1924.0,9.0,2.993,1924-09-01
1924-10-01,1924.0,10.0,2.981,1924-10-01
1924-11-01,1924.0,11.0,2.989,1924-11-01
1924-12-01,1924.0,12.0,3.018,1924-12-01
1925-01-01,1925.0,1.0,3.0,1925-01-01
1925-02-01,1925.0,2.0,2.96,1925-02-01
1925-03-01,1925.0,3.0,2.97,1925-03-01
1925-04-01,1925.0,4.0,2.96,1925-04-01
1925-05-01,1925.0,5.0,2.96,1925-05-01
1925-06-01,1925.0,6.0,2.96,1925-06-01
