date,year,month,wholesale_price_index,date
1922-01-01,1922.0,1.0,1675.0,1922-01-01
1922-02-01,1922.0,2.0,1520.0,1922-02-01
1922-03-01,1922.0,3.0,1552.0,1922-03-01
1922-04-01,1922.0,4.0,1491.0,1922-04-01
1922-05-01,1922.0,5.0,1471.0,1922-05-01
1922-06-01,1922.0,6.0,1471.0,1922-06-01
1922-07-01,1922.0,7.0,1464.0,1922-07-01
1922-08-01,1922.0,8.0,1386.0,1922-08-01
1922-09-01,1922.0,9.0,1155.0,1922-09-01
1922-10-01,1922.0,10.0,1059.0,1922-10-01
1922-11-01,1922.0,11.0,1017.0,1922-11-01
1922-12-01,1922.0,12.0,999.0,1922-12-01
1923-01-01,1923.0,1.0,1003.0,1923-01-01
1923-02-01,1923.0,2.0,1019.0,1923-02-01
1923-03-01,1923.0,3.0,1028.0,1923-03-01
1923-04-01,1923.0,4.0,1031.0,1923-04-01
1923-05-01,1923.0,5.0,1030.0,1923-05-01
1923-06-01,1923.0,6.0,1001.0,1923-06-01
1923-07-01,1923.0,7.0,968.0,1923-07-01
1923-08-01,1923.0,8.0,958.0,1923-08-01
1923-09-01,1923.0,9.0,957.0,1923-09-01
1923-10-01,1923.0,10.0,973.0,1923-10-01
1923-11-01,1923.0,11.0,965.0,1923-11-01
1923-12-01,1923.0,12.0,984.0,1923-12-01
1924-01-01,1924.0,1.0,974.0,1924-01-01
1924-02-01,1924.0,2.0,999.0,1924-02-01
1924-03-01,1924.0,3.0,1021.0,1924-03-01
1924-04-01,1924.0,4.0,1008.0,1924-04-01
1924-05-01,1924.0,5.0,1015.0,1924-05-01
1924-06-01,1924.0,6.0,981.0,1924-06-01
1924-07-01,1924.0,7.0,953.0,1924-07-01
1924-08-01,1924.0,8.0,986.0,1924-08-01
1924-09-01,1924.0,9.0,982.0,1924-09-01
1924-10-01,1924.0,10.0,999.0,1924-10-01
1924-11-01,1924.0,11.0,1013.0,1924-11-01
1924-12-01,1924.0,12.0,1024.0,1924-12-01
1925-01-01,1925.0,1.0,1045.0,1925-01-01
1925-02-01,1925.0,2.0,1048.0,1925-02-01
1925-03-01,1925.0,3.0,1034.0,1925-03-01
1925-04-01,1925.0,4.0,1019.0,1925-04-01
1925-05-01,1925.0,5.0,1006.0,1925-05-01
