date,year,month,total_note_circulation,date
1919-01-01,1919.0,1.0,,1919-01-01
1919-02-01,1919.0,2.0,,1919-02-01
1919-03-01,1919.0,3.0,4687056.0,1919-03-01
1919-04-01,1919.0,4.0,5577851.0,1919-04-01
1919-05-01,1919.0,5.0,5960003.0,1919-05-01
1919-06-01,1919.0,6.0,7397692.0,1919-06-01
1919-07-01,1919.0,7.0,8391405.0,1919-07-01
1919-08-01,1919.0,8.0,9241135.0,1919-08-01
1919-09-01,1919.0,9.0,9781112.0,1919-09-01
1919-10-01,1919.0,10.0,10819310.0,1919-10-01
1919-11-01,1919.0,11.0,11193670.0,1919-11-01
1919-12-01,1919.0,12.0,12134474.0,1919-12-01
1920-01-01,1920.0,1.0,13266878.0,1920-01-01
1920-02-01,1920.0,2.0,14292809.0,1920-02-01
1920-03-01,1920.0,3.0,15457749.0,1920-03-01
1920-04-01,1920.0,4.0,15523832.0,1920-04-01
1920-05-01,1920.0,5.0,15793805.0,1920-05-01
1920-06-01,1920.0,6.0,16971344.0,1920-06-01
1920-07-01,1920.0,7.0,18721495.0,1920-07-01
1920-08-01,1920.0,8.0,20050281.0,1920-08-01
1920-09-01,1920.0,9.0,22271686.0,1920-09-01
1920-10-01,1920.0,10.0,25120385.0,1920-10-01
1920-11-01,1920.0,11.0,28072331.0,1920-11-01
1920-12-01,1920.0,12.0,30645658.0,1920-12-01
1921-01-01,1921.0,1.0,34525634.0,1921-01-01
1921-02-01,1921.0,2.0,34525634.0,1921-02-01
1921-03-01,1921.0,3.0,41067299.0,1921-03-01
1921-04-01,1921.0,4.0,45036723.0,1921-04-01
1921-05-01,1921.0,5.0,45583194.0,1921-05-01
1921-06-01,1921.0,6.0,49685140.0,1921-06-01
1921-07-01,1921.0,7.0,54107281.0,1921-07-01
1921-08-01,1921.0,8.0,58533766.0,1921-08-01
1921-09-01,1921.0,9.0,70170798.0,1921-09-01
1921-10-01,1921.0,10.0,,1921-10-01
1921-11-01,1921.0,11.0,,1921-11-01
1921-12-01,1921.0,12.0,,1921-12-01
1922-01-01,1922.0,1.0,227015925.0,1922-01-01
1922-02-01,1922.0,2.0,259931138.0,1922-02-01
1922-03-01,1922.0,3.0,304063642.0,1922-03-01
1922-04-01,1922.0,4.0,346697776.0,1922-04-01
1922-05-01,1922.0,5.0,397829313.0,1922-05-01
1922-06-01,1922.0,6.0,549915678.0,1922-06-01
1922-07-01,1922.0,7.0,786225601.0,1922-07-01
1922-08-01,1922.0,8.0,1353403632.0,1922-08-01
1922-09-01,1922.0,9.0,2277677738.0,1922-09-01
1922-10-01,1922.0,10.0,2970916607.0,1922-10-01
1922-11-01,1922.0,11.0,3417786498.0,1922-11-01
1922-12-01,1922.0,12.0,4080177238.0,1922-12-01
1923-01-01,1923.0,1.0,4110551163.0,1923-01-01
1923-02-01,1923.0,2.0,4207991722.0,1923-02-01
1923-03-01,1923.0,3.0,4459117216.0,1923-03-01
1923-04-01,1923.0,4.0,4577382333.0,1923-04-01
1923-05-01,1923.0,5.0,4837042081.0,1923-05-01
1923-06-01,1923.0,6.0,5432619312.0,1923-06-01
1923-07-01,1923.0,7.0,5684133721.0,1923-07-01
1923-08-01,1923.0,8.0,5894786367.0,1923-08-01
1923-09-01,1923.0,9.0,6225109352.0,1923-09-01
1923-10-01,1923.0,10.0,6607839105.0,1923-10-01
1923-11-01,1923.0,11.0,6577616341.0,1923-11-01
1923-12-01,1923.0,12.0,7125755190.0,1923-12-01
1924-01-01,1924.0,1.0,6735109000.0,1924-01-01
1924-02-01,1924.0,2.0,7364441000.0,1924-02-01
1924-03-01,1924.0,3.0,7144901000.0,1924-03-01
1924-04-01,1924.0,4.0,7135471000.0,1924-04-01
1924-05-01,1924.0,5.0,7552620000.0,1924-05-01
1924-06-01,1924.0,6.0,7774958000.0,1924-06-01
1924-07-01,1924.0,7.0,7995647000.0,1924-07-01
1924-08-01,1924.0,8.0,5894786367.0,1924-08-01
1924-09-01,1924.0,9.0,7998509000.0,1924-09-01
1924-10-01,1924.0,10.0,8213003000.0,1924-10-01
1924-11-01,1924.0,11.0,8070021000.0,1924-11-01
1924-12-01,1924.0,12.0,8387767000.0,1924-12-01
1925-01-01,1925.0,1.0,7902217000.0,1925-01-01
1925-02-01,1925.0,2.0,7957242000.0,1925-02-01
1925-03-01,1925.0,3.0,7897792000.0,1925-03-01
1925-04-01,1925.0,4.0,7976420000.0,1925-04-01
