date,year,month,retail_price_index_52_commodities,date
1921-01-01,1921.0,1.0,100.0,1921-01-01
1921-02-01,1921.0,2.0,114.0,1921-02-01
1921-03-01,1921.0,3.0,122.0,1921-03-01
1921-04-01,1921.0,4.0,116.0,1921-04-01
1921-05-01,1921.0,5.0,121.0,1921-05-01
1921-06-01,1921.0,6.0,150.0,1921-06-01
1921-07-01,1921.0,7.0,143.0,1921-07-01
1921-08-01,1921.0,8.0,167.0,1921-08-01
1921-09-01,1921.0,9.0,215.0,1921-09-01
1921-10-01,1921.0,10.0,333.0,1921-10-01
1921-11-01,1921.0,11.0,566.0,1921-11-01
1921-12-01,1921.0,12.0,942.0,1921-12-01
1922-01-01,1922.0,1.0,1142.0,1922-01-01
1922-02-01,1922.0,2.0,1428.0,1922-02-01
1922-03-01,1922.0,3.0,1457.0,1922-03-01
1922-04-01,1922.0,4.0,1619.0,1922-04-01
1922-05-01,1922.0,5.0,2028.0,1922-05-01
1922-06-01,1922.0,6.0,3421.0,1922-06-01
1922-07-01,1922.0,7.0,4830.0,1922-07-01
1922-08-01,1922.0,8.0,11046.0,1922-08-01
1922-09-01,1922.0,9.0,20090.0,1922-09-01
1922-10-01,1922.0,10.0,18567.0,1922-10-01
1922-11-01,1922.0,11.0,17681.0,1922-11-01
1922-12-01,1922.0,12.0,17409.0,1922-12-01
1923-01-01,1923.0,1.0,17526.0,1923-01-01
1923-02-01,1923.0,2.0,17851.0,1923-02-01
1923-03-01,1923.0,3.0,18205.0,1923-03-01
1923-04-01,1923.0,4.0,19428.0,1923-04-01
1923-05-01,1923.0,5.0,20450.0,1923-05-01
1923-06-01,1923.0,6.0,20482.0,1923-06-01
1923-07-01,1923.0,7.0,19368.0,1923-07-01
1923-08-01,1923.0,8.0,18511.0,1923-08-01
1923-09-01,1923.0,9.0,20955.0,1923-09-01
1923-10-01,1923.0,10.0,21166.0,1923-10-01
1923-11-01,1923.0,11.0,21479.0,1923-11-01
1923-12-01,1923.0,12.0,21849.0,1923-12-01
1924-01-01,1924.0,1.0,22941.0,1924-01-01
1924-02-01,1924.0,2.0,23336.0,1924-02-01
1924-03-01,1924.0,3.0,23336.0,1924-03-01
1924-04-01,1924.0,4.0,23361.0,1924-04-01
1924-05-01,1924.0,5.0,23797.0,1924-05-01
1924-06-01,1924.0,6.0,24267.0,1924-06-01
