date,year,month,exchange_rate,date
1919-01-01,1919.0,1.0,17.09,1919-01-01
1919-02-01,1919.0,2.0,20.72,1919-02-01
1919-03-01,1919.0,3.0,25.85,1919-03-01
1919-04-01,1919.0,4.0,26.03,1919-04-01
1919-05-01,1919.0,5.0,24.75,1919-05-01
1919-06-01,1919.0,6.0,29.63,1919-06-01
1919-07-01,1919.0,7.0,37.24,1919-07-01
1919-08-01,1919.0,8.0,42.5,1919-08-01
1919-09-01,1919.0,9.0,68.5,1919-09-01
1919-10-01,1919.0,10.0,99.5,1919-10-01
1919-11-01,1919.0,11.0,130.0,1919-11-01
1919-12-01,1919.0,12.0,155.0,1919-12-01
1920-01-01,1920.0,1.0,271.43,1920-01-01
1920-02-01,1920.0,2.0,250.0,1920-02-01
1920-03-01,1920.0,3.0,206.66,1920-03-01
1920-04-01,1920.0,4.0,200.0,1920-04-01
1920-05-01,1920.0,5.0,155.83,1920-05-01
1920-06-01,1920.0,6.0,145.0,1920-06-01
1920-07-01,1920.0,7.0,165.0,1920-07-01
1920-08-01,1920.0,8.0,237.14,1920-08-01
1920-09-01,1920.0,9.0,255.0,1920-09-01
1920-10-01,1920.0,10.0,358.33,1920-10-01
1920-11-01,1920.0,11.0,493.66,1920-11-01
1920-12-01,1920.0,12.0,659.4,1920-12-01
1921-01-01,1921.0,1.0,654.0,1921-01-01
1921-02-01,1921.0,2.0,722.5,1921-02-01
1921-03-01,1921.0,3.0,676.0,1921-03-01
1921-04-01,1921.0,4.0,661.0,1921-04-01
1921-05-01,1921.0,5.0,604.0,1921-05-01
1921-06-01,1921.0,6.0,720.0,1921-06-01
1921-07-01,1921.0,7.0,957.0,1921-07-01
1921-08-01,1921.0,8.0,1081.5,1921-08-01
1921-09-01,1921.0,9.0,2520.0,1921-09-01
1921-10-01,1921.0,10.0,4355.0,1921-10-01
1921-11-01,1921.0,11.0,8520.0,1921-11-01
1921-12-01,1921.0,12.0,5275.0,1921-12-01
1922-01-01,1922.0,1.0,7375.0,1922-01-01
1922-02-01,1922.0,2.0,6350.0,1922-02-01
1922-03-01,1922.0,3.0,7487.5,1922-03-01
1922-04-01,1922.0,4.0,7937.5,1922-04-01
1922-05-01,1922.0,5.0,11100.0,1922-05-01
1922-06-01,1922.0,6.0,18900.0,1922-06-01
1922-07-01,1922.0,7.0,42350.0,1922-07-01
1922-08-01,1922.0,8.0,77300.0,1922-08-01
1922-09-01,1922.0,9.0,74210.0,1922-09-01
1922-10-01,1922.0,10.0,73550.0,1922-10-01
1922-11-01,1922.0,11.0,71400.0,1922-11-01
1922-12-01,1922.0,12.0,70925.0,1922-12-01
1923-01-01,1923.0,1.0,71500.0,1923-01-01
1923-02-01,1923.0,2.0,71150.0,1923-02-01
1923-03-01,1923.0,3.0,71000.0,1923-03-01
1923-04-01,1923.0,4.0,70850.0,1923-04-01
1923-05-01,1923.0,5.0,70800.0,1923-05-01
1923-06-01,1923.0,6.0,70800.0,1923-06-01
1923-07-01,1923.0,7.0,70760.0,1923-07-01
1923-08-01,1923.0,8.0,70760.0,1923-08-01
1923-09-01,1923.0,9.0,70760.0,1923-09-01
1923-10-01,1923.0,10.0,70760.0,1923-10-01
1923-11-01,1923.0,11.0,70760.0,1923-11-01
1923-12-01,1923.0,12.0,70760.0,1923-12-01
1924-01-01,1924.0,1.0,70760.0,1924-01-01
1924-02-01,1924.0,2.0,70760.0,1924-02-01
1924-03-01,1924.0,3.0,70760.0,1924-03-01
1924-04-01,1924.0,4.0,70760.0,1924-04-01
1924-05-01,1924.0,5.0,70760.0,1924-05-01
1924-06-01,1924.0,6.0,70760.0,1924-06-01
1924-07-01,1924.0,7.0,70760.0,1924-07-01
1924-08-01,1924.0,8.0,70760.0,1924-08-01
1924-09-01,1924.0,9.0,70760.0,1924-09-01
1924-10-01,1924.0,10.0,70760.0,1924-10-01
1924-11-01,1924.0,11.0,70760.0,1924-11-01
1924-12-01,1924.0,12.0,70760.0,1924-12-01
