date,year,month,gold,foreign_exchange_and_currency,loans_and_discounts,treasury_bills,notes_in_circulation,deposits,date
1923-01-01,1923.0,1.0,49304.0,1058244.0,731046.0,2556848.0,4110551.0,279092.0,1923-01-01
1923-02-01,1923.0,2.0,83438.0,1029134.0,728884.0,2552682.0,4207992.0,178752.0,1923-02-01
1923-03-01,1923.0,3.0,86097.0,1336385.0,821397.0,2550159.0,4459117.0,329109.0,1923-03-01
1923-04-01,1923.0,4.0,73270.0,1439999.0,741858.0,2550159.0,4577382.0,226273.0,1923-04-01
1923-05-01,1923.0,5.0,73391.0,1682209.0,875942.0,2550159.0,4837042.0,343339.0,1923-05-01
1923-06-01,1923.0,6.0,73391.0,2532316.0,730848.0,2547212.0,5432619.0,362237.0,1923-06-01
1923-07-01,1923.0,7.0,73391.0,2947216.0,658966.0,2539777.0,5684134.0,535121.0,1923-07-01
1923-08-01,1923.0,8.0,73391.0,3050085.0,647936.0,2538719.0,5894786.0,413383.0,1923-08-01
1923-09-01,1923.0,9.0,73391.0,3126599.0,863317.0,2537661.0,6225109.0,373673.0,1923-09-01
1923-10-01,1923.0,10.0,62117.0,3356232.0,1069340.0,2536604.0,6607839.0,414882.0,1923-10-01
1923-11-01,1923.0,11.0,62117.0,3504652.0,1094620.0,2535547.0,6577616.0,617321.0,1923-11-01
1923-12-01,1923.0,12.0,83177.0,3832132.0,1325380.0,2534490.0,7125755.0,649424.0,1923-12-01
1924-01-01,1924.0,1.0,91274.0,3811148.0,1253110.0,2533434.0,6735109.0,536982.0,1924-01-01
1924-02-01,1924.0,2.0,105536.0,3921594.0,1737334.0,2532379.0,7364441.0,558800.0,1924-02-01
1924-03-01,1924.0,3.0,106663.0,3953872.0,1733400.0,2295428.0,7144901.0,752814.0,1924-03-01
1924-04-01,1924.0,4.0,107059.0,3669333.0,2131984.0,2294471.0,7315471.0,696141.0,1924-04-01
1924-05-01,1924.0,5.0,107443.0,3344337.0,2660449.0,2259839.0,7554620.0,641001.0,1924-05-01
1924-06-01,1924.0,6.0,107762.0,3178339.0,3092470.0,2237794.0,7774958.0,741400.0,1924-06-01
1924-07-01,1924.0,7.0,108342.0,3254477.0,3304876.0,2231173.0,7995647.0,896032.0,1924-07-01
1924-08-01,1924.0,8.0,108256.0,3453177.0,3226962.0,2219459.0,8002142.0,997677.0,1924-08-01
1924-09-01,1924.0,9.0,108950.0,3724916.0,2852688.0,2210527.0,7998509.0,890537.0,1924-09-01
1924-10-01,1924.0,10.0,109327.0,4032485.0,2379700.0,2202106.0,8213003.0,502579.0,1924-10-01
1924-11-01,1924.0,11.0,110643.0,4312355.0,1945627.0,2196181.0,8072021.0,484750.0,1924-11-01
1924-12-01,1924.0,12.0,110890.0,4770548.0,1881593.0,2178185.0,8387767.0,533450.0,1924-12-01
1925-01-01,1925.0,1.0,111314.0,3337911.0,1545295.0,2172491.0,7902217.0,438390.0,1925-01-01
1925-02-01,1925.0,2.0,111474.0,3310032.0,1285158.0,2150151.0,7957242.0,315771.0,1925-02-01
1925-03-01,1925.0,3.0,111649.0,3202802.0,1047719.0,2107949.0,7897792.0,295498.0,1925-03-01
1925-04-01,1925.0,4.0,112168.0,3474672.0,1059069.0,2088777.0,7976420.0,236957.0,1925-04-01
