date,year,month,number_in_thousands,date
1922-01-01,1922.0,1.0,17.0,1922-01-01
1922-04-01,1922.0,4.0,42.0,1922-04-01
1922-07-01,1922.0,7.0,33.0,1922-07-01
1922-10-01,1922.0,10.0,38.0,1922-10-01
1923-01-01,1923.0,1.0,117.0,1923-01-01
1923-04-01,1923.0,4.0,153.0,1923-04-01
1923-07-01,1923.0,7.0,93.0,1923-07-01
1923-10-01,1923.0,10.0,79.0,1923-10-01
1924-01-01,1924.0,1.0,98.0,1924-01-01
1924-04-01,1924.0,4.0,107.0,1924-04-01
1924-07-01,1924.0,7.0,64.0,1924-07-01
1924-10-01,1924.0,10.0,78.0,1924-10-01
1925-01-01,1925.0,1.0,154.0,1925-01-01
1925-04-01,1925.0,4.0,176.0,1925-04-01
1925-07-01,1925.0,7.0,118.0,1925-07-01
1925-10-01,1925.0,10.0,119.0,1925-10-01
1926-01-01,1926.0,1.0,208.0,1926-01-01
1926-04-01,1926.0,4.0,202.0,1926-04-01
1926-07-01,1926.0,7.0,151.0,1926-07-01
1926-10-01,1926.0,10.0,148.0,1926-10-01
