date,year,month,gold_coin_and_bullion,silver_coin,foreign_currency_and_exchange,bills_discounted,advances_on_securities,advances_to_treasury,notes_in_circulation,currrent_accounts_and_deposits,date
1921-01-01,1921.0,1.0,,,,10924.0,195.0,,15206.0,3851.0,1921-01-01
1921-02-01,1921.0,2.0,,,,13202.0,162.0,,15571.0,5531.0,1921-02-01
1921-03-01,1921.0,3.0,,,,12862.0,160.0,,15650.0,5246.0,1921-03-01
1921-04-01,1921.0,4.0,,,,12178.0,110.0,,13114.0,6802.0,1921-04-01
1921-05-01,1921.0,5.0,,,,11847.0,111.0,,13686.0,5760.0,1921-05-01
1921-06-01,1921.0,6.0,,,,11693.0,108.0,,18096.0,1162.0,1921-06-01
1921-07-01,1921.0,7.0,,,,11787.0,107.0,,15799.0,3532.0,1921-07-01
1921-08-01,1921.0,8.0,4.0,1.0,,17799.0,1199.0,,17326.0,2975.0,1921-08-01
1921-09-01,1921.0,9.0,5.0,1.0,,20994.0,1194.0,,20845.0,2407.0,1921-09-01
1921-10-01,1921.0,10.0,12.0,1.0,,22403.0,1185.0,900.0,23643.0,2154.0,1921-10-01
1921-11-01,1921.0,11.0,12.0,1.0,,23650.0,1176.0,1000.0,24742.0,2353.0,1921-11-01
1921-12-01,1921.0,12.0,12.0,1.0,,23859.0,1158.0,900.0,25175.0,2240.0,1921-12-01
1922-01-01,1922.0,1.0,13.0,1.0,,24195.0,1147.0,1300.0,25680.0,2488.0,1922-01-01
1922-02-01,1922.0,2.0,13.0,1.0,,23952.0,1504.0,1900.0,26758.0,2354.0,1922-02-01
1922-03-01,1922.0,3.0,13.0,1.0,,24574.0,1565.0,3000.0,29327.0,2224.0,1922-03-01
1922-04-01,1922.0,4.0,13.0,1.0,,25120.0,1565.0,4100.0,30580.0,2901.0,1922-04-01
1922-05-01,1922.0,5.0,13.0,1.0,,25326.0,1560.0,5500.0,31930.0,3289.0,1922-05-01
1922-06-01,1922.0,6.0,13.0,1.0,,25445.0,1556.0,6900.0,33600.0,3741.0,1922-06-01
1922-07-01,1922.0,7.0,13.0,1.0,,28783.0,1546.0,7200.0,38357.0,3929.0,1922-07-01
1922-08-01,1922.0,8.0,13.0,1.0,,37617.0,1773.0,7600.0,46242.0,5417.0,1922-08-01
1922-09-01,1922.0,9.0,14.0,1.0,,46963.0,1848.0,8900.0,58458.0,5929.0,1922-09-01
1922-10-01,1922.0,10.0,14.0,1.0,,51631.0,1728.0,12000.0,70005.0,5189.0,1922-10-01
1922-11-01,1922.0,11.0,15.0,1.0,,49246.0,1861.0,12500.0,72016.0,6408.0,1922-11-01
1922-12-01,1922.0,12.0,16.0,1.0,,50702.0,2016.0,16500.0,75887.0,4761.0,1922-12-01
1923-01-01,1923.0,1.0,14.0,1.0,,54516.0,2007.0,20000.0,73717.0,5888.0,1923-01-01
1923-02-01,1923.0,2.0,23.0,1.0,,58358.0,2013.0,24000.0,75135.0,6600.0,1923-02-01
1923-03-01,1923.0,3.0,23.0,1.0,,71284.0,2584.0,29000.0,82205.0,11152.0,1923-03-01
1923-04-01,1923.0,4.0,23.0,1.0,,83800.0,2817.0,37000.0,100101.0,9793.0,1923-04-01
1923-05-01,1923.0,5.0,23.0,1.0,,93396.0,1763.0,47200.0,119285.0,10609.0,1923-05-01
1923-06-01,1923.0,6.0,23.0,1.0,,120608.0,2490.0,59700.0,154996.0,12742.0,1923-06-01
1923-07-01,1923.0,7.0,22.0,1.0,,165927.0,1762.0,79700.0,226285.0,21977.0,1923-07-01
1923-08-01,1923.0,8.0,22.0,1.0,,273605.0,1789.0,143000.0,399487.0,23629.0,1923-08-01
1923-09-01,1923.0,9.0,22.0,1.0,,380454.0,1776.0,243000.0,588810.0,60246.0,1923-09-01
1923-10-01,1923.0,10.0,23.0,1.0,,494501.0,1663.0,269000.0,744926.0,60176.0,1923-10-01
1923-11-01,1923.0,11.0,23.0,1.0,,531403.0,1047.0,306000.0,853989.0,74970.0,1923-11-01
1923-12-01,1923.0,12.0,23.0,1.0,,582117.0,935.0,401000.0,931337.0,84791.0,1923-12-01
1924-01-01,1924.0,1.0,24.0,1.0,,654294.0,9346.0,526000.0,1084677.0,105481.0,1924-01-01
1924-02-01,1924.0,2.0,23.0,1.0,,746471.0,34023.0,699000.0,1278437.0,164838.0,1924-02-01
1924-03-01,1924.0,3.0,24.0,1.0,,802756.0,4598.0,824000.0,1606875.0,253935.0,1924-03-01
1924-04-01,1924.0,4.0,24.0,1.0,,1125898.0,12456.0,944000.0,2098091.0,308121.0,1924-04-01
1924-05-01,1924.0,5.0,24.0,1.0,,1420385.0,13437.0,1054000.0,2486257.0,527137.0,1924-05-01
1924-06-01,1924.0,6.0,246947.0,9823.0,681268.0,1192517.0,17566.0,1980000.0,2893719.0,1135710.0,1924-06-01
1924-07-01,1924.0,7.0,441832.0,13545.0,1110926.0,1257597.0,,1980000.0,3277943.0,1424578.0,1924-07-01
1924-08-01,1924.0,8.0,449945.0,13558.0,1382885.0,1438454.0,,1978130.0,3659757.0,1473231.0,1924-08-01
1924-09-01,1924.0,9.0,540425.0,13560.0,1385880.0,1756636.0,,1977306.0,4115925.0,1416400.0,1924-09-01
1924-10-01,1924.0,10.0,503377.0,13301.0,1658674.0,1872385.0,,1976455.0,4635090.0,1465356.0,1924-10-01
1924-11-01,1924.0,11.0,508411.0,13301.0,1816102.0,1984540.0,,1975631.0,4442644.0,1929754.0,1924-11-01
1924-12-01,1924.0,12.0,532842.0,13299.0,1933356.0,1976888.0,,1974781.0,4513990.0,2069468.0,1924-12-01
1925-01-01,1925.0,1.0,509848.0,12373.0,1967314.0,1848620.0,,1973930.0,4449650.0,2138629.0,1925-01-01
1925-02-01,1925.0,2.0,596334.0,12374.0,1989096.0,1676594.0,,1973163.0,4237985.0,2542262.0,1925-02-01
1925-03-01,1925.0,3.0,669107.0,12374.0,1984006.0,1514532.0,,1969809.0,4270096.0,2552762.0,1925-03-01
1925-04-01,1925.0,4.0,653534.0,12136.0,2081998.0,1485898.0,,1968987.0,4526216.0,2470507.0,1925-04-01
