,year_beginning,year_ending,month_beginning,month_ending,quarter,total_stocks,redemptions_and_conversions,up_to_1_year,over_1_year_and_up_to_5_years,over_5_years_and_up_to_15_years,over_15_years_and_dated,period_beginning,period_ending
0,1975.0,1976.0,4.0,3.0,,4159.0,-735.0,-1120.0,2196.0,1008.0,2810.0,1975-04-01,1976-03-31
1,1976.0,1977.0,4.0,3.0,,6290.0,-703.0,-1402.0,2600.0,817.0,4978.0,1976-04-01,1977-03-31
2,1977.0,1978.0,4.0,3.0,,6684.0,-672.0,-2259.0,2931.0,2826.0,3858.0,1977-04-01,1978-03-31
3,1978.0,1979.0,4.0,3.0,,6256.0,-404.0,1098.0,1994.0,1441.0,4323.0,1978-04-01,1979-03-31
4,1979.0,1980.0,4.0,3.0,,8977.0,-1133.0,-2068.0,-2333.0,2905.0,6940.0,1979-04-01,1980-03-31
5,1978.0,1978.0,7.0,9.0,2.0,793.0,-151.0,-364.0,257.0,154.0,897.0,1978-07-01,1978-09-30
6,1978.0,1978.0,10.0,12.0,3.0,1288.0,-16.0,-57.0,2.0,802.0,557.0,1978-10-01,1978-12-31
7,1979.0,1979.0,1.0,3.0,4.0,2254.0,-234.0,-324.0,824.0,486.0,1502.0,1979-01-01,1979-03-31
8,1979.0,1979.0,4.0,6.0,1.0,2732.0,-1.0,-314.0,358.0,1159.0,1530.0,1979-04-01,1979-06-30
9,1979.0,1979.0,7.0,9.0,2.0,2648.0,-403.0,-932.0,1062.0,496.0,2425.0,1979-07-01,1979-09-30
10,1979.0,1979.0,10.0,12.0,3.0,2511.0,-431.0,-178.0,159.0,1317.0,1644.0,1979-10-01,1979-12-31
11,1980.0,1980.0,1.0,3.0,4.0,1086.0,-298.0,-644.0,754.0,-67.0,1341.0,1980-01-01,1980-03-31
12,1980.0,1980.0,4.0,6.0,1.0,3377.0,-544.0,-574.0,1358.0,943.0,2194.0,1980-04-01,1980-06-30
13,1980.0,1980.0,7.0,9.0,2.0,3186.0,-19.0,-136.0,-261.0,3130.0,472.0,1980-07-01,1980-09-30
14,1980.0,1980.0,10.0,12.0,3.0,3055.0,-263.0,-734.0,1186.0,1425.0,1441.0,1980-10-01,1980-12-31
