,year,month,day,short_dated_(5_years),medium-dated_(10_years),long-dated_(20_years),date
0,1980.0,10.0,,13.15,13.29,13.15,1980-10-01
1,1980.0,11.0,,12.97,13.43,13.35,1980-11-01
2,1980.0,12.0,,13.3,13.89,13.8,1980-12-01
3,1981.0,1.0,,13.21,13.86,13.86,1981-01-01
4,1981.0,2.0,,13.0,13.84,13.94,1981-02-01
5,1980.0,10.0,20.0,13.07,13.33,13.23,1980-10-20
6,1980.0,10.0,27.0,12.93,13.07,12.95,1980-10-27
7,1980.0,11.0,3.0,13.29,13.4,13.24,1980-11-03
8,1980.0,11.0,10.0,13.38,13.53,13.35,1980-11-10
9,1980.0,11.0,17.0,13.11,13.26,13.1,1980-11-17
10,1980.0,11.0,24.0,13.03,13.22,13.08,1980-11-24
11,1980.0,12.0,1.0,12.95,13.34,13.26,1980-12-01
12,1980.0,12.0,8.0,13.04,13.44,13.34,1980-12-08
13,1980.0,12.0,15.0,13.62,14.08,13.94,1980-12-15
14,1980.0,12.0,22.0,13.18,13.79,13.7,1980-12-22
15,1980.0,12.0,29.0,13.28,13.88,13.8,1980-12-29
16,1981.0,1.0,5.0,13.19,13.89,13.85,1981-01-05
17,1981.0,1.0,12.0,13.38,14.06,14.02,1981-01-12
18,1981.0,1.0,19.0,13.3,14.05,14.06,1981-01-19
19,1981.0,1.0,26.0,13.29,13.95,13.95,1981-01-26
20,1981.0,2.0,2.0,13.19,13.83,13.83,1981-02-02
21,1981.0,2.0,9.0,13.29,13.89,13.9,1981-02-09
22,1981.0,2.0,16.0,13.24,13.92,13.94,1981-02-16
23,1981.0,2.0,23.0,12.97,13.83,13.93,1981-02-23
24,1981.0,3.0,2.0,13.03,13.87,13.97,1981-03-02
25,1981.0,3.0,9.0,13.15,13.95,14.03,1981-03-09
26,1981.0,3.0,16.0,12.85,13.59,13.63,1981-03-16
