,,year,type,bank_of_england's_minimum_lending_rate_to_the_market,treasury_bill_yield,eurodollar_3-month_rate,building_societies_association_recommended_rate_on_shares,british_government_securities_long-dated_(20_years),date
1969-01-01,Last Friday,1969.0,Last Friday,8.0,7.8,,,,1969-01-01
1969-01-01,Last working day,1969.0,Last working day,,,10.07,5.0,,1969-01-01
1969-01-01,Average of working days,1969.0,Average of working days,,,,,9.05,1969-01-01
1970-01-01,Last Friday,1970.0,Last Friday,7.0,6.93,,,,1970-01-01
1970-01-01,Last working day,1970.0,Last working day,,,6.57,5.0,,1970-01-01
1970-01-01,Average of working days,1970.0,Average of working days,,,,,9.25,1970-01-01
1971-01-01,Last Friday,1971.0,Last Friday,5.0,4.46,,,,1971-01-01
1971-01-01,Last working day,1971.0,Last working day,,,5.75,5.0,,1971-01-01
1971-01-01,Average of working days,1971.0,Average of working days,,,,,8.9,1971-01-01
1972-01-01,Last Friday,1972.0,Last Friday,9.0,8.48,,,,1972-01-01
1972-01-01,Last working day,1972.0,Last working day,,,5.91,5.25,,1972-01-01
1972-01-01,Average of working days,1972.0,Average of working days,,,,,8.97,1972-01-01
1973-01-01,Last Friday,1973.0,Last Friday,13.0,12.82,,,,1973-01-01
1973-01-01,Last working day,1973.0,Last working day,,,10.19,7.5,,1973-01-01
1973-01-01,Average of working days,1973.0,Average of working days,,,,,10.78,1973-01-01
1974-01-01,Last Friday,1974.0,Last Friday,11.5,11.3,,,,1974-01-01
1974-01-01,Last working day,1974.0,Last working day,,,10.07,7.5,,1974-01-01
1974-01-01,Average of working days,1974.0,Average of working days,,,,,14.77,1974-01-01
1975-01-01,Last Friday,1975.0,Last Friday,11.25,10.93,,,,1975-01-01
1975-01-01,Last working day,1975.0,Last working day,,,5.88,7.0,,1975-01-01
1975-01-01,Average of working days,1975.0,Average of working days,,,,,14.39,1975-01-01
1976-01-01,Last Friday,1976.0,Last Friday,14.25,13.98,,,,1976-01-01
1976-01-01,Last working day,1976.0,Last working day,,,5.07,7.8,,1976-01-01
1976-01-01,Average of working days,1976.0,Average of working days,,,,,14.43,1976-01-01
1977-01-01,Last Friday,1977.0,Last Friday,7.0,6.39,,,,1977-01-01
1977-01-01,Last working day,1977.0,Last working day,,,7.19,6.0,,1977-01-01
1977-01-01,Average of working days,1977.0,Average of working days,,,,,12.73,1977-01-01
1978-01-01,Last Friday,1978.0,Last Friday,12.5,11.91,,,,1978-01-01
1978-01-01,Last working day,1978.0,Last working day,,,11.69,8.0,,1978-01-01
1978-01-01,Average of working days,1978.0,Average of working days,,,,,12.47,1978-01-01
1979-01-01,Last Friday,1979.0,Last Friday,17.0,16.49,,,,1979-01-01
1979-01-01,Last working day,1979.0,Last working day,,,14.5,10.5,,1979-01-01
1979-01-01,Average of working days,1979.0,Average of working days,,,,,12.99,1979-01-01
1980-01-01,Last Friday,1980.0,Last Friday,14.0,13.45,,,,1980-01-01
1980-01-01,Last working day,1980.0,Last working day,,,17.75,10.5,,1980-01-01
1980-01-01,Average of working days,1980.0,Average of working days,,,,,,1980-01-01
