date,year,month,wholesale_prices_index,date
1923-01-01,1923.0,1.0,386.9,1923-01-01
1923-02-01,1923.0,2.0,421.8,1923-02-01
1923-03-01,1923.0,3.0,424.0,1923-03-01
1923-04-01,1923.0,4.0,414.7,1923-04-01
1923-05-01,1923.0,5.0,406.5,1923-05-01
1923-06-01,1923.0,6.0,408.7,1923-06-01
1923-07-01,1923.0,7.0,406.7,1923-07-01
1923-08-01,1923.0,8.0,413.1,1923-08-01
1923-09-01,1923.0,9.0,423.6,1923-09-01
1923-10-01,1923.0,10.0,420.5,1923-10-01
1923-11-01,1923.0,11.0,442.9,1923-11-01
1923-12-01,1923.0,12.0,458.6,1923-12-01
1924-01-01,1924.0,1.0,494.0,1924-01-01
1924-02-01,1924.0,2.0,543.7,1924-02-01
1924-03-01,1924.0,3.0,499.3,1924-03-01
1924-04-01,1924.0,4.0,450.0,1924-04-01
1924-05-01,1924.0,5.0,458.5,1924-05-01
1924-06-01,1924.0,6.0,465.3,1924-06-01
1924-07-01,1924.0,7.0,481.0,1924-07-01
1924-08-01,1924.0,8.0,476.6,1924-08-01
1924-09-01,1924.0,9.0,485.6,1924-09-01
1924-10-01,1924.0,10.0,497.1,1924-10-01
1924-11-01,1924.0,11.0,503.5,1924-11-01
1924-12-01,1924.0,12.0,507.2,1924-12-01
1925-01-01,1925.0,1.0,514.4,1925-01-01
1925-02-01,1925.0,2.0,515.0,1925-02-01
1925-03-01,1925.0,3.0,513.5,1925-03-01
1925-04-01,1925.0,4.0,512.8,1925-04-01
1925-05-01,1925.0,5.0,519.8,1925-05-01
1925-06-01,1925.0,6.0,542.6,1925-06-01
1925-07-01,1925.0,7.0,556.8,1925-07-01
1925-08-01,1925.0,8.0,557.2,1925-08-01
1925-09-01,1925.0,9.0,555.7,1925-09-01
1925-10-01,1925.0,10.0,572.3,1925-10-01
1925-11-01,1925.0,11.0,605.5,1925-11-01
1925-12-01,1925.0,12.0,632.4,1925-12-01
1926-01-01,1926.0,1.0,633.5,1926-01-01
1926-02-01,1926.0,2.0,635.6,1926-02-01
1926-03-01,1926.0,3.0,631.8,1926-03-01
1926-04-01,1926.0,4.0,650.1,1926-04-01
1926-05-01,1926.0,5.0,687.9,1926-05-01
1926-06-01,1926.0,6.0,738.4,1926-06-01
1926-07-01,1926.0,7.0,836.2,1926-07-01
1926-08-01,1926.0,8.0,769.5,1926-08-01
1926-09-01,1926.0,9.0,786.9,1926-09-01
1926-10-01,1926.0,10.0,751.5,1926-10-01
1926-11-01,1926.0,11.0,683.8,1926-11-01
1926-12-01,1926.0,12.0,626.5,1926-12-01
1927-01-01,1927.0,1.0,621.8,1927-01-01
1927-02-01,1927.0,2.0,631.6,1927-02-01
1927-03-01,1927.0,3.0,641.4,1927-03-01
1927-04-01,1927.0,4.0,636.5,1927-04-01
1927-05-01,1927.0,5.0,628.6,1927-05-01
1927-06-01,1927.0,6.0,622.6,1927-06-01
1927-07-01,1927.0,7.0,619.9,1927-07-01
1927-08-01,1927.0,8.0,617.9,1927-08-01
1927-09-01,1927.0,9.0,600.3,1927-09-01
1927-10-01,1927.0,10.0,587.5,1927-10-01
