date,year,month,dollar_exchange_rate,date
1923-01-01,1923.0,1.0,15.57,1923-01-01
1923-02-01,1923.0,2.0,16.45,1923-02-01
1923-03-01,1923.0,3.0,15.23,1923-03-01
1923-04-01,1923.0,4.0,14.84,1923-04-01
1923-05-01,1923.0,5.0,15.15,1923-05-01
1923-06-01,1923.0,6.0,16.32,1923-06-01
1923-07-01,1923.0,7.0,16.84,1923-07-01
1923-08-01,1923.0,8.0,17.65,1923-08-01
1923-09-01,1923.0,9.0,16.15,1923-09-01
1923-10-01,1923.0,10.0,17.19,1923-10-01
1923-11-01,1923.0,11.0,18.51,1923-11-01
1923-12-01,1923.0,12.0,19.59,1923-12-01
1924-01-01,1924.0,1.0,21.74,1924-01-01
1924-02-01,1924.0,2.0,25.57,1924-02-01
1924-03-01,1924.0,3.0,18.32,1924-03-01
1924-04-01,1924.0,4.0,15.45,1924-04-01
1924-05-01,1924.0,5.0,18.8,1924-05-01
1924-06-01,1924.0,6.0,18.88,1924-06-01
1924-07-01,1924.0,7.0,19.86,1924-07-01
1924-08-01,1924.0,8.0,18.48,1924-08-01
1924-09-01,1924.0,9.0,18.96,1924-09-01
1924-10-01,1924.0,10.0,19.13,1924-10-01
1924-11-01,1924.0,11.0,18.82,1924-11-01
1924-12-01,1924.0,12.0,18.56,1924-12-01
1925-01-01,1925.0,1.0,18.49,1925-01-01
1925-02-01,1925.0,2.0,19.38,1925-02-01
1925-03-01,1925.0,3.0,19.06,1925-03-01
1925-04-01,1925.0,4.0,19.2,1925-04-01
1925-05-01,1925.0,5.0,19.83,1925-05-01
1925-06-01,1925.0,6.0,21.56,1925-06-01
1925-07-01,1925.0,7.0,21.11,1925-07-01
1925-08-01,1925.0,8.0,21.3,1925-08-01
1925-09-01,1925.0,9.0,21.12,1925-09-01
1925-10-01,1925.0,10.0,23.92,1925-10-01
1925-11-01,1925.0,11.0,26.09,1925-11-01
1925-12-01,1925.0,12.0,26.9,1925-12-01
1926-01-01,1926.0,1.0,26.77,1926-01-01
1926-02-01,1926.0,2.0,27.49,1926-02-01
1926-03-01,1926.0,3.0,28.65,1926-03-01
1926-04-01,1926.0,4.0,30.15,1926-04-01
1926-05-01,1926.0,5.0,30.6,1926-05-01
1926-06-01,1926.0,6.0,34.93,1926-06-01
1926-07-01,1926.0,7.0,41.15,1926-07-01
1926-08-01,1926.0,8.0,35.12,1926-08-01
1926-09-01,1926.0,9.0,35.66,1926-09-01
1926-10-01,1926.0,10.0,32.52,1926-10-01
1926-11-01,1926.0,11.0,28.11,1926-11-01
1926-12-01,1926.0,12.0,25.25,1926-12-01
1927-01-01,1927.0,1.0,25.32,1927-01-01
1927-02-01,1927.0,2.0,25.55,1927-02-01
1927-03-01,1927.0,3.0,25.54,1927-03-01
1927-04-01,1927.0,4.0,25.53,1927-04-01
1927-05-01,1927.0,5.0,25.53,1927-05-01
1927-06-01,1927.0,6.0,25.54,1927-06-01
1927-07-01,1927.0,7.0,25.56,1927-07-01
1927-08-01,1927.0,8.0,25.51,1927-08-01
1927-09-01,1927.0,9.0,25.48,1927-09-01
1927-10-01,1927.0,10.0,25.47,1927-10-01
1927-11-01,1927.0,11.0,25.43,1927-11-01
1927-12-01,1927.0,12.0,25.4,1927-12-01
