date,year,gdp_at_current_prices_based_on_expenditure_data,gdp_at_1975_prices_based_on_expenditure_data,implicit_price_deflator_1975=100_(column_1_divided_by_column_2)_x_100,gdp_at_market_prices,consumers'_expenditure,general_government_final_consumption,gross_domestic_fixed_capital_formation,value_of_physical_increase_in_stock_and_work_in_progress,exports_of_goods_and_services,imports_of_goods_and_services,taxes_on_expenditure,subsidies,date
1970-01-01,1970.0,43532.0,85402.0,50.97,51065.0,31778.0,8991.0,9470.0,421.0,11551.0,11146.0,8417.0,884.0,1970-01-01
1971-01-01,1971.0,49442.0,87572.0,56.46,57291.0,35599.0,10250.0,10517.0,158.0,12960.0,12193.0,8788.0,939.0,1971-01-01
1972-01-01,1972.0,55276.0,88719.0,62.3,63390.0,40183.0,11675.0,11606.0,44.0,13653.0,13771.0,9627.0,1153.0,1972-01-01
1973-01-01,1973.0,64258.0,95506.0,67.28,72936.0,47759.0,13380.0,14238.0,1448.0,17124.0,19013.0,10121.0,1443.0,1973-01-01
1974-01-01,1974.0,74414.0,94527.0,78.72,82879.0,52849.0,16609.0,16867.0,1304.0,22985.0,27375.0,11469.0,3004.0,1974-01-01
1975-01-01,1975.0,93954.0,93954.0,100.0,104413.0,64424.0,23074.0,20417.0,1534.0,27011.0,28979.0,14162.0,3703.0,1975-01-01
1976-01-01,1976.0,111245.0,97971.0,113.55,124330.0,74751.0,26779.0,23599.0,864.0,35211.0,36874.0,16553.0,3468.0,1976-01-01
1977-01-01,1977.0,126111.0,98993.0,127.39,143064.0,85474.0,26209.0,25739.0,1860.0,43352.0,42570.0,20252.0,3299.0,1977-01-01
1978-01-01,1978.0,144442.0,101929.0,141.71,164034.0,98395.0,32934.0,26695.0,1070.0,47442.0,45502.0,23253.0,3661.0,1978-01-01
1979-01-01,1979.0,163647.0,102563.0,159.56,189702.0,114805.0,38316.0,33646.0,2760.0,54676.0,54501.0,30361.0,4306.0,1979-01-01
