,year,month_beginning,month_ending,quarter,month,current_balance_(million_£),exchange_rate_($/£),retail_price_index_(1975=100),retail_price_percentage_increase_on_one_year_earlier,period_beginning,period_ending
0,1970.0,,,,,799.0,2.396,54.2,6.4,1970-01-01,1970-12-31
1,1971.0,,,,,1076.0,2.444,59.3,9.4,1971-01-01,1971-12-31
2,1972.0,,,,,189.0,2.502,63.6,7.1,1972-01-01,1972-12-31
3,1973.0,,,,,-1056.0,2.453,69.4,9.2,1973-01-01,1973-12-31
4,1974.0,,,,,-3380.0,2.34,80.5,16.1,1974-01-01,1974-12-31
5,1975.0,,,,,-1674.0,2.22,100.0,24.2,1975-01-01,1975-12-31
6,1976.0,,,,,-1060.0,1.805,116.5,16.5,1976-01-01,1976-12-31
7,1977.0,,,,,-206.0,1.746,135.0,15.8,1977-01-01,1977-12-31
8,1978.0,,,,,707.0,1.92,146.2,8.3,1978-01-01,1978-12-31
9,1979.0,,,,,-1630.0,2.122,165.8,13.4,1979-01-01,1979-12-31
10,1980.0,,,,,-2737.0,2.328,195.6,18.0,1980-01-01,1980-12-31
11,1976.0,4.0,6.0,1.0,,106.0,1.998,110.9,22.5,1976-04-01,1976-06-30
12,1976.0,7.0,9.0,2.0,,-352.0,1.805,114.9,16.0,1976-07-01,1976-09-30
13,1976.0,10.0,12.0,3.0,,-436.0,1.766,117.6,13.7,1976-10-01,1976-12-31
14,1976.0,1.0,3.0,4.0,,-378.0,1.651,123.0,15.0,1976-01-01,1976-03-31
15,1977.0,4.0,6.0,1.0,,-362.0,1.714,129.2,16.5,1977-04-01,1977-06-30
16,1977.0,7.0,9.0,2.0,,-431.0,1.719,134.9,17.4,1977-07-01,1977-09-30
17,1977.0,10.0,12.0,3.0,,307.0,1.735,137.0,16.5,1977-10-01,1977-12-31
18,1977.0,1.0,3.0,4.0,,280.0,1.813,139.0,13.0,1977-01-01,1977-03-31
19,1978.0,4.0,6.0,1.0,,-194.0,1.928,141.4,9.5,1978-04-01,1978-06-30
20,1978.0,7.0,9.0,2.0,,417.0,1.835,145.3,7.6,1978-07-01,1978-09-30
21,1978.0,10.0,12.0,3.0,,87.0,1.932,147.8,7.9,1978-10-01,1978-12-31
22,1978.0,1.0,3.0,4.0,,397.0,1.984,150.3,8.1,1978-01-01,1978-03-31
23,1979.0,4.0,6.0,1.0,,-692.0,2.016,155.0,9.6,1979-04-01,1979-06-30
24,1979.0,7.0,9.0,2.0,,-192.0,2.081,160.7,10.6,1979-07-01,1979-09-30
25,1979.0,10.0,12.0,3.0,,-189.0,2.234,171.4,16.0,1979-10-01,1979-12-31
26,1979.0,1.0,3.0,4.0,,-557.0,2.157,176.2,17.3,1979-01-01,1979-03-31
27,1980.0,4.0,6.0,1.0,,70.0,2.254,184.6,19.1,1980-04-01,1980-06-30
28,1980.0,7.0,9.0,2.0,,-88.0,2.286,195.3,21.5,1980-07-01,1980-09-30
29,1980.0,10.0,12.0,3.0,,870.0,2.382,199.4,16.4,1980-10-01,1980-12-31
30,1980.0,1.0,3.0,4.0,,1885.0,2.387,203.2,15.3,1980-01-01,1980-03-31
31,1981.0,1.0,1.0,,1.0,1042.0,2.405,205.7,13.0,1981-01-01,1981-01-31
32,1981.0,2.0,2.0,,2.0,614.0,2.294,207.6,12.5,1981-02-01,1981-02-28
