,year,month__beginning,month_ending,quarter,gdp_(at_1975_factor_cost_£_million_seasonally_adjusted),industrial_production_-_all_industries_(1975=100_seasonally_adjusted),_industrial_production_-manufacturing_(1975=100_seasonally_adjusted),unemployment_rate,date
0,1970.0,,,,85402.0,99.7,98.0,2.4,1970-01-01
1,1971.0,,,,87572.0,99.8,97.5,3.1,1971-01-01
2,1972.0,,,,88719.0,102.0,100.0,3.4,1972-01-01
3,1973.0,,,,95506.0,109.5,108.4,2.4,1973-01-01
4,1974.0,,,,94527.0,105.1,106.6,2.3,1974-01-01
5,1975.0,,,,93954.0,100.0,100.0,3.6,1975-01-01
6,1976.0,,,,97971.0,102.0,101.5,4.9,1976-01-01
7,1977.0,,,,98993.0,105.9,103.0,5.2,1977-01-01
8,1978.0,,,,101929.0,109.8,103.9,5.2,1978-01-01
9,1979.0,,,,102973.0,112.6,104.2,5.0,1979-01-01
10,1976.0,4.0,6.0,1.0,24486.0,100.4,99.4,5.1,1976-01-01
11,1976.0,7.0,9.0,2.0,24156.0,101.8,101.7,5.3,1976-01-01
12,1976.0,10.0,12.0,3.0,24518.0,101.4,101.6,5.4,1976-01-01
13,1976.0,1.0,3.0,4.0,24811.0,104.4,103.2,,1976-01-01
14,1977.0,4.0,6.0,1.0,24397.0,106.2,104.5,5.5,1977-01-01
15,1977.0,7.0,9.0,2.0,24660.0,105.5,102.5,5.6,1977-01-01
16,1977.0,10.0,12.0,3.0,24677.0,105.9,102.7,5.8,1977-01-01
17,1977.0,1.0,3.0,4.0,25259.0,106.1,102.4,5.9,1977-01-01
18,1978.0,4.0,6.0,1.0,25156.0,107.6,102.9,5.8,1978-01-01
19,1978.0,7.0,9.0,2.0,25602.0,110.6,104.5,5.8,1978-01-01
20,1978.0,10.0,12.0,3.0,25507.0,111.0,104.9,5.7,1978-01-01
21,1978.0,1.0,3.0,4.0,25664.0,110.0,103.1,5.4,1978-01-01
22,1979.0,4.0,6.0,1.0,25175.0,110.1,102.3,5.6,1979-01-01
23,1979.0,7.0,9.0,2.0,26287.0,115.0,107.3,5.4,1979-01-01
24,1979.0,10.0,12.0,3.0,25655.0,112.7,103.2,5.2,1979-01-01
25,1979.0,1.0,3.0,4.0,25856.0,112.6,104.2,5.3,1979-01-01
26,1980.0,4.0,6.0,1.0,25596.0,110.0,100.0,5.7,1980-01-01
27,1980.0,7.0,9.0,2.0,25445.0,106.6,96.8,6.2,1980-01-01
28,1980.0,10.0,12.0,3.0,24991.0,102.9,93.3,7.0,1980-01-01
29,1980.0,1.0,3.0,4.0,,100.2,89.1,8.4,1980-01-01
