,year,month_beginning,month_ending,quarter,total,private_sector,general_government,public_corporations,period_beginning,period_ending
0,1969.0,,,,18954.0,10390.0,5385.0,3201.0,1969-01-01,1969-12-31
1,1970.0,,,,19460.0,10685.0,5475.0,3316.0,1970-01-01,1970-12-31
2,1971.0,,,,19743.0,11099.0,5297.0,3334.0,1971-01-01,1971-12-31
3,1972.0,,,,19823.0,11776.0,5076.0,2932.0,1972-01-01,1972-12-31
4,1973.0,,,,21195.0,12267.0,5793.0,3135.0,1973-01-01,1973-12-31
5,1974.0,,,,20616.0,11641.0,5418.0,3557.0,1974-01-01,1974-12-31
6,1975.0,,,,20417.0,11530.0,4974.0,3913.0,1975-01-01,1975-12-31
7,1976.0,,,,20636.0,11811.0,4786.0,4039.0,1976-01-01,1976-12-31
8,1977.0,,,,20089.0,12438.0,3964.0,3687.0,1977-01-01,1977-12-31
9,1978.0,,,,20802.0,13793.0,3520.0,3489.0,1978-01-01,1978-12-31
10,1979.0,,,,20506.0,13761.0,3352.0,3393.0,1979-01-01,1979-12-31
11,1975.0,4.0,6.0,1.0,5112.0,2916.0,1239.0,957.0,1975-04-01,1975-06-30
12,1975.0,7.0,9.0,2.0,5086.0,2846.0,1306.0,934.0,1975-07-01,1975-09-30
13,1975.0,10.0,12.0,3.0,5178.0,2986.0,1165.0,1027.0,1975-10-01,1975-12-31
14,1975.0,1.0,3.0,4.0,5041.0,2782.0,1264.0,995.0,1975-01-01,1975-03-31
15,1976.0,4.0,6.0,1.0,5226.0,2844.0,1280.0,1102.0,1976-04-01,1976-06-30
16,1976.0,7.0,9.0,2.0,5158.0,2920.0,1226.0,1012.0,1976-07-01,1976-09-30
17,1976.0,10.0,12.0,3.0,5203.0,3097.0,1156.0,950.0,1976-10-01,1976-12-31
18,1976.0,1.0,3.0,4.0,5049.0,2950.0,1124.0,975.0,1976-01-01,1976-03-31
19,1977.0,4.0,6.0,1.0,4883.0,2892.0,1079.0,912.0,1977-04-01,1977-06-30
20,1977.0,7.0,9.0,2.0,5065.0,3149.0,988.0,928.0,1977-07-01,1977-09-30
21,1977.0,10.0,12.0,3.0,4997.0,3119.0,953.0,925.0,1977-10-01,1977-12-31
22,1977.0,1.0,3.0,4.0,5144.0,3278.0,944.0,922.0,1977-01-01,1977-03-31
23,1978.0,4.0,6.0,1.0,5287.0,3493.0,938.0,856.0,1978-04-01,1978-06-30
24,1978.0,7.0,9.0,2.0,5282.0,3499.0,899.0,894.0,1978-07-01,1978-09-30
25,1978.0,10.0,12.0,3.0,5136.0,3401.0,868.0,867.0,1978-10-01,1978-12-31
26,1978.0,1.0,3.0,4.0,5097.0,3400.0,825.0,872.0,1978-01-01,1978-03-31
27,1979.0,4.0,6.0,1.0,4998.0,3318.0,818.0,862.0,1979-04-01,1979-06-30
28,1979.0,7.0,9.0,2.0,5052.0,3401.0,820.0,831.0,1979-07-01,1979-09-30
29,1979.0,10.0,12.0,3.0,5182.0,3436.0,882.0,864.0,1979-10-01,1979-12-31
30,1979.0,1.0,3.0,4.0,5274.0,3606.0,832.0,836.0,1979-01-01,1979-03-31
31,1980.0,4.0,6.0,1.0,5169.0,3547.0,765.0,857.0,1980-04-01,1980-06-30
32,1980.0,7.0,9.0,2.0,5058.0,3429.0,741.0,888.0,1980-07-01,1980-09-30
33,1980.0,10.0,12.0,3.0,4923.0,3357.0,719.0,847.0,1980-10-01,1980-12-31
34,1980.0,1.0,3.0,4.0,,,,,1980-01-01,1980-03-31
