period_ending,year,month_beginning,month_ending,end_of_quarter,m1_seasonally_adjusted,sterling_m3_seasonally_adjusted,m3_seasonally_adjusted,period_beginning,period_ending
1970-06-30,1970.0,4.0,6.0,1.0,8640.0,16000.0,16450.0,1970-04-01,1970-06-30
1970-09-30,1970.0,7.0,9.0,2.0,8920.0,16460.0,16980.0,1970-07-01,1970-09-30
1970-12-31,1970.0,10.0,12.0,3.0,9020.0,16830.0,17350.0,1970-10-01,1970-12-31
1970-03-31,1970.0,1.0,3.0,4.0,9420.0,17300.0,17810.0,1970-01-01,1970-03-31
1971-06-30,1971.0,4.0,6.0,1.0,9820.0,18020.0,18510.0,1971-04-01,1971-06-30
1971-09-30,1971.0,7.0,9.0,2.0,9900.0,18270.0,18780.0,1971-07-01,1971-09-30
1971-12-31,1971.0,10.0,12.0,3.0,10210.0,18670.0,19180.0,1971-10-01,1971-12-31
1971-03-31,1971.0,1.0,3.0,4.0,10310.0,19530.0,19960.0,1971-01-01,1971-03-31
1972-06-30,1972.0,4.0,6.0,1.0,11200.0,21140.0,21670.0,1972-04-01,1972-06-30
1972-09-30,1972.0,7.0,9.0,2.0,11680.0,22480.0,23090.0,1972-07-01,1972-09-30
1972-12-31,1972.0,10.0,12.0,3.0,11750.0,23320.0,23970.0,1972-10-01,1972-12-31
1972-03-31,1972.0,1.0,3.0,4.0,12240.0,24720.0,25520.0,1972-01-01,1972-03-31
1973-06-30,1973.0,4.0,6.0,1.0,12280.0,26290.0,27390.0,1973-04-01,1973-06-30
1973-09-30,1973.0,7.0,9.0,2.0,13130.0,27650.0,28720.0,1973-07-01,1973-09-30
1973-12-31,1973.0,10.0,12.0,3.0,12660.0,29620.0,30940.0,1973-10-01,1973-12-31
1973-03-31,1973.0,1.0,3.0,4.0,13040.0,31450.0,32880.0,1973-01-01,1973-03-31
1974-06-30,1974.0,4.0,6.0,1.0,12870.0,32730.0,34520.0,1974-04-01,1974-06-30
1974-09-30,1974.0,7.0,9.0,2.0,13370.0,32810.0,34940.0,1974-07-01,1974-09-30
1974-12-31,1974.0,10.0,12.0,3.0,13510.0,33490.0,35940.0,1974-10-01,1974-12-31
1974-03-31,1974.0,1.0,3.0,4.0,14330.0,34610.0,37100.0,1974-01-01,1974-03-31
1975-06-30,1975.0,4.0,6.0,1.0,14880.0,35560.0,38120.0,1975-04-01,1975-06-30
1975-09-30,1975.0,7.0,9.0,2.0,16080.0,35840.0,38100.0,1975-07-01,1975-09-30
1975-12-31,1975.0,10.0,12.0,3.0,16770.0,37030.0,39780.0,1975-10-01,1975-12-31
1975-03-31,1975.0,1.0,3.0,4.0,17070.0,36920.0,40010.0,1975-01-01,1975-03-31
1976-06-30,1976.0,4.0,6.0,1.0,17940.0,37960.0,41160.0,1976-04-01,1976-06-30
1976-09-30,1976.0,7.0,9.0,2.0,18530.0,33790.0,42210.0,1976-07-01,1976-09-30
1976-12-31,1976.0,10.0,12.0,3.0,19100.0,40300.0,44310.0,1976-10-01,1976-12-31
1976-03-31,1976.0,1.0,3.0,4.0,18980.0,40380.0,44470.0,1976-01-01,1976-03-31
1977-06-30,1977.0,4.0,6.0,1.0,19540.0,40720.0,45070.0,1977-04-01,1977-06-30
1977-09-30,1977.0,7.0,9.0,2.0,20530.0,41740.0,46220.0,1977-07-01,1977-09-30
1977-12-31,1977.0,10.0,12.0,3.0,22020.0,42990.0,47390.0,1977-10-01,1977-12-31
1977-03-31,1977.0,1.0,3.0,4.0,23180.0,44540.0,48950.0,1977-01-01,1977-03-31
1978-06-30,1978.0,4.0,6.0,1.0,24350.0,46880.0,51480.0,1978-04-01,1978-06-30
1978-09-30,1978.0,7.0,9.0,2.0,25090.0,48230.0,53260.0,1978-07-01,1978-09-30
1978-12-31,1978.0,10.0,12.0,3.0,26010.0,49560.0,54480.0,1978-10-01,1978-12-31
1978-03-31,1978.0,1.0,3.0,4.0,27020.0,51310.0,56350.0,1978-01-01,1978-03-31
1979-06-30,1979.0,4.0,6.0,1.0,27580.0,52370.0,57150.0,1979-04-01,1979-06-30
1979-09-30,1979.0,7.0,9.0,2.0,28250.0,54380.0,59290.0,1979-07-01,1979-09-30
1979-12-31,1979.0,10.0,12.0,3.0,28950.0,56210.0,61040.0,1979-10-01,1979-12-31
1979-03-31,1979.0,1.0,3.0,4.0,29460.0,57830.0,63270.0,1979-01-01,1979-03-31
1980-06-30,1980.0,4.0,6.0,1.0,29370.0,59250.0,65110.0,1980-04-01,1980-06-30
1980-09-30,1980.0,7.0,9.0,2.0,30110.0,62570.0,68140.0,1980-07-01,1980-09-30
1980-12-31,1980.0,10.0,12.0,3.0,29780.0,65340.0,71200.0,1980-10-01,1980-12-31
1980-03-31,1980.0,1.0,3.0,4.0,30520.0,68350.0,74870.0,1980-01-01,1980-03-31
