,year,month_beginning,month_ending,quarter,receipts_taxes_national_insurance_etc._contributionscontributions,receipts_trading_in_come_rent_interest_etc.,expenditures_final_consumption,expenditures_gross_domestic_capital__formation,expenditures_current_and_capital_transfers_current_grants_and_subsidies,expenditures_capital_transfers,expenditures_debt_interest,expenditures_net_lending_etc.,expenditure_total,period_beginning,period_ending
0,1975.0,,,,38547.0,4439.0,23074.0,5064.0,14353.0,1196.0,4211.0,3755.0,51653.0,1975-01-01,1975-12-31
1,1976.0,,,,44724.0,5223.0,26779.0,5483.0,17015.0,1435.0,5394.0,2365.0,58471.0,1976-01-01,1976-12-31
2,1977.0,,,,51008.0,5909.0,29209.0,4935.0,19502.0,1537.0,6373.0,251.0,61807.0,1977-01-01,1977-12-31
3,1978.0,,,,56704.0,6488.0,32934.0,4741.0,23239.0,2027.0,7224.0,1687.0,71852.0,1978-01-01,1978-12-31
4,1979.0,,,,68053.0,7353.0,38316.0,5239.0,27348.0,1901.0,8829.0,3273.0,84906.0,1979-01-01,1979-12-31
5,1977.0,4.0,6.0,1.0,12700.0,1527.0,7040.0,1565.0,4742.0,470.0,1832.0,433.0,16082.0,1977-04-01,1977-06-30
6,1977.0,7.0,9.0,2.0,12371.0,1371.0,7257.0,1007.0,4833.0,363.0,1314.0,-178.0,14596.0,1977-07-01,1977-09-30
7,1977.0,10.0,12.0,3.0,12822.0,1697.0,7368.0,1171.0,4847.0,328.0,1747.0,88.0,15549.0,1977-10-01,1977-12-31
8,1977.0,1.0,3.0,4.0,13115.0,1314.0,7544.0,1192.0,5080.0,376.0,1480.0,-92.0,15580.0,1977-01-01,1977-03-31
9,1978.0,4.0,6.0,1.0,14116.0,1720.0,7972.0,1483.0,5658.0,693.0,1995.0,74.0,17875.0,1978-04-01,1978-06-30
10,1978.0,7.0,9.0,2.0,13539.0,1512.0,8073.0,962.0,5725.0,413.0,1455.0,439.0,17067.0,1978-07-01,1978-09-30
11,1978.0,10.0,12.0,3.0,13897.0,1702.0,8252.0,1145.0,5783.0,442.0,1951.0,729.0,18302.0,1978-10-01,1978-12-31
12,1978.0,1.0,3.0,4.0,15152.0,1554.0,8637.0,1151.0,6073.0,479.0,1823.0,445.0,18608.0,1978-01-01,1978-03-31
13,1979.0,4.0,6.0,1.0,16032.0,1917.0,8875.0,1500.0,6522.0,504.0,2330.0,554.0,20285.0,1979-04-01,1979-06-30
14,1979.0,7.0,9.0,2.0,16387.0,1722.0,9316.0,1023.0,6855.0,454.0,1877.0,670.0,20195.0,1979-07-01,1979-09-30
15,1979.0,10.0,12.0,3.0,17250.0,1962.0,9896.0,1356.0,6617.0,443.0,2523.0,1054.0,21889.0,1979-10-01,1979-12-31
16,1979.0,1.0,3.0,4.0,18384.0,1752.0,10229.0,1360.0,7354.0,500.0,2099.0,995.0,22537.0,1979-01-01,1979-03-31
17,1980.0,4.0,6.0,1.0,20845.0,2045.0,10872.0,1700.0,7747.0,576.0,3149.0,152.0,24196.0,1980-04-01,1980-06-30
18,1980.0,7.0,9.0,2.0,18713.0,2136.0,11656.0,1144.0,8145.0,521.0,2209.0,1444.0,25119.0,1980-07-01,1980-09-30
19,1980.0,10.0,12.0,3.0,21811.0,2157.0,12386.0,1415.0,8075.0,618.0,3299.0,1185.0,26978.0,1980-10-01,1980-12-31
20,1980.0,1.0,3.0,4.0,,,,,,,,,,1980-01-01,1980-03-31
