,year,month_beginning,month_ending,quarter,financial_deficit_total,financial_deficit_general_government,financial_deficit_public_corporations,net_lending_etc._to_private_sector_and_overseas,total,receipts_public_sector_borrowing_requirementfinancial_transactions_(net_receipts),receipts_public_sector_borrowing_requirement_total,receipts_public_sector_borrowing_requirement_contributions_by_central_government,receipts_contribution_by_local_authorities,receipts_contributions_by_public_corporations,receipts_seasonally_adjusted_total,period_beginning,period_ending
0,1971.0,,,,300.0,-786.0,1086.0,620.0,920.0,-483.0,1403.0,637.0,676.0,90.0,1403.0,1971-01-01,1971-12-31
1,1972.0,,,,1547.0,804.0,743.0,558.0,2105.0,55.0,2050.0,1600.0,514.0,-64.0,2050.0,1972-01-01,1972-12-31
2,1973.0,,,,2764.0,1997.0,767.0,880.0,3644.0,-547.0,4191.0,2331.0,1348.0,512.0,4191.0,1973-01-01,1973-12-31
3,1974.0,,,,4695.0,3165.0,1530.0,1697.0,6392.0,-41.0,6433.0,3523.0,2161.0,749.0,6433.0,1974-01-01,1974-12-31
4,1975.0,,,,7705.0,4912.0,2793.0,1833.0,9538.0,-946.0,10484.0,8345.0,1629.0,510.0,10484.0,1975-01-01,1975-12-31
5,1976.0,,,,8413.0,6159.0,2254.0,1286.0,9699.0,572.0,9127.0,6786.0,1103.0,1238.0,9127.0,1976-01-01,1976-12-31
6,1977.0,,,,5868.0,4639.0,1229.0,126.0,5994.0,-1.0,5995.0,4469.0,183.0,1343.0,5995.0,1977-01-01,1977-12-31
7,1978.0,,,,8048.0,6973.0,1075.0,467.0,8515.0,184.0,8331.0,8371.0,659.0,-699.0,8331.0,1978-01-01,1978-12-31
8,1979.0,,,,8344.0,6227.0,2117.0,432.0,8776.0,-3788.0,12564.0,10396.0,1732.0,436.0,12564.0,1979-01-01,1979-12-31
9,1979.0,4.0,6.0,1.0,2329.0,1782.0,547.0,167.0,2496.0,1031.0,1465.0,247.0,1003.0,215.0,2117.0,1979-04-01,1979-06-30
10,1979.0,7.0,9.0,2.0,1823.0,1416.0,407.0,224.0,2047.0,-1298.0,3345.0,3797.0,-267.0,-185.0,3006.0,1979-07-01,1979-09-30
11,1979.0,10.0,12.0,3.0,2636.0,1623.0,1013.0,104.0,2740.0,-1085.0,3825.0,2842.0,666.0,317.0,3893.0,1979-10-01,1979-12-31
12,1979.0,1.0,3.0,4.0,1556.0,1406.0,150.0,-63.0,1493.0,-2436.0,3929.0,3510.0,330.0,89.0,3548.0,1979-01-01,1979-03-31
13,1980.0,4.0,6.0,1.0,1700.0,1226.0,474.0,-128.0,1572.0,2771.0,-1199.0,-1950.0,1397.0,-646.0,131.0,1980-04-01,1980-06-30
14,1980.0,7.0,9.0,2.0,3543.0,2646.0,897.0,490.0,4033.0,-802.0,4835.0,4587.0,574.0,-326.0,4122.0,1980-07-01,1980-09-30
