"Table 3.10 Hungarian Price and Exchange Rate",,,
Year,Month,"Hungarian index of prices<s>a</s>","Cents per crown in New York"
1921,July,4200,0.3323
1921,August,5400,0.2629
1921,September,6250,0.1944
1921,October,6750,0.1432
1921,November,8300,0.1078
1921,December,8250,0.1512
1922,January,8100,0.1525
1922,February,8500,0.1497
1922,March,9900,0.1256
1922,April,10750,0.1258
1922,May,11000,0.1261
1922,June,12900,0.1079
1922,July,17400,0.076
1922,August,21400,0.0595
1922,September,26600,0.0423
1922,October,32900,0.0402
1922,November,32600,0.0413
1922,December,33400,0.043
1923,January,38500,0.0392
1923,February,41800,0.0395
1923,March,66000,0.0289
1923,April,83500,0.0217
1923,May,94000,0.0191
1923,June,144500,0.014
1923,July,286000,0.0097
1923,August,462500,0.0056
1923,September,554000,0.0055
1923,October,587000,0.0054
1923,November,635000,0.0054
1923,December,714000,0.0052
1924,January,1026000,0.0039
1924,February,1839100,0.0033
1924,March,2076700,0.0015
1924,April,2134600,0.0014
1924,May,2269600,0.0012
1924,June,2207800,0.0011
1924,July,2294500,0.0012
1924,August,2242000,0.0013
1924,September,2236600,0.0013
1924,October,2285200,0.0013
1924,November,2309500,0.0013
1924,December,2346600,0.0013
1925,January,2307500,0.0014
1925,February,2218700,0.0014
1925,March,2117800,0.0014
,,,
,,,
,,,
"Source: Young (1925, 2:323).",,,
,,,
"Note: From July 1921 through November 1923, the index numbers represent retail",,,
"prices and are based on 60 commodities with July 1914 = 100. From December",,,
"1923 through March 1925, the figures are based on wholesale prices computed by",,,
"the Hungarian Central Statistical Office. They refer to the prices of 52 commodities",,,
"on the last day of the month with 1913 = 100.",,,
