"Table 3.12 Number of Unemployed in Hungary<s>a</s>",,
Year,Month,"Unemployed, in thousands of workers"
1924,January,—
1924,February,—
1924,March,—
1924,April,22
1924,May,23
1924,June,25
1924,July,31
1924,August,30
1924,September,20
1924,October,30
1924,November,31
1924,December,33
1925,January,37
1925,February,37
1925,March,37
1925,April,36
1925,May,30
1925,June,34
1925,July,32
1925,August,27
1925,September,25
1925,October,23
1925,November,26
1925,December,27
1926,January,28
1926,February,29
1926,March,29
1926,April,26
1926,May,28
1926,June,26
,,
"Source: League of Nations (1926, 50).",,
"Note: Figures relate only to members of Union of Socialist Workers.",,
