"Table 3.13 Polish Receipts and Expenditures, in thousands of zloty",,,,,,,,,
Year,"Receipts: Administration","Receipts: State enterprises","Receipts: Monopolies","Receipts: Total","Expenditures: Administration","Expenditures: State enterprises","Expenditures: Monopolies","Expenditures: Total","Deficit (-) or surplus (+)"
1921,261676,11413,72222,345311,765263,115589,—,880852,-535541
1922,467979,14556,47893,530428,734310,145003,—,879313,-348885
1923,—,—,—,426000,—,—,—,1119800,-692000
1924,—,—,—,1703000,—,—,—,1629000,74000
1925,1491743,133530,356611,1981884,1830231,106343,45019,1981593,251
,,,,,,,,,
"Source: Young (1925, 2:183).",,,,,,,,,
"Note: Conversion from marks to zloty was made on the following basis: 1921, 1",,,,,,,,,
"zloty = 303.75 marks. First quarter 1922, 1 zloty = 513.52 marks; second quarter,",,,,,,,,,
"691.49 marks; third quarter, 1,024.97 marks; and fourth quarter, 1,933.87 marks.",,,,,,,,,
