"Table 3.14 Balance Sheet of Bank of Poland, 1918–25
end of month figures
(Polish State Loan Bank Prior to May 1924), in millions of marks",,,,,,,,,
Year,Month,Gold<s>a</s>,"Silver<s>a</s> (including base coin)","Balances with foreign banks",Discounts,"Advances: Commercial","Advances: Government","Note circulation","Gold and Silver (together)"
1918,October,—,—,—,7,180.8,—,880.2,—
1918,November,—,—,—,7,184,13.9,930.5,—
1918,December,—,—,—,6.4,183.7,117.8,1023.8,—
1919,January,—,—,—,5,194.7,209.9,1098.1,—
1919,February,—,—,—,4.2,196.4,315,1160,—
1919,March,3.7,4.2,3.9,3.5,189.7,400,1223.2,—
1919,April,3.7,4.4,9.4,2.5,192.8,575,1346,—
1919,May,3.7,8.9,5.8,1.8,193.2,925,1548.3,—
1919,June,4.9,14.8,14.6,1.3,185.9,1125,1784.6,—
1919,July,5.7,20.1,13.3,1.1,193.9,1925,2087.9,—
1919,August,6.1,20.5,20.3,0.7,107.4,2525,2466.6,—
1919,September,6.3,21.6,69.8,0.1,218.9,3225,2964.7,—
1919,October,6.5,24.3,91,0.3,242.4,4375,3723.6,—
1919,November,6.6,24.6,151.6,3.4,270.2,5375,4236.21,—
1919,December,6.6,25.5,344.6,3.9,243.8,6825,5316.3,—
1920,January,6.6,25.5,244.1,3.7,278.5,8275,67198.9,—
1920,February,6.8,25.9,565.7,6.4,303,10775,8300.3,—
1920,March,6.8,25.9,685.4,8.2,319.1,14775,10690.6,—
1920,April,6.8,25.9,685.5,14.8,316.7,19375,16027.9,—
1920,May,6.8,25.9,565.7,47.2,320.9,22375,17934.7,—
1920,June,6.8,25.9,894.7,161.4,488.2,27625,21730.1,—
1920,July,6.8,25.9,1130.9,325.9,847.5,33375,26311.4,—
1920,August,9,33.8,1273.4,465.8,1466.1,40625,31085.8,—
1920,September,9.1,34.1,174.9,333.9,1862.9,40625,33203.5,—
1920,October,9.5,34.4,236.7,259.1,2527,46925,38456.8,—
1920,November,10.1,35.4,203.8,396,3278.4,49625,43236.2,—
1920,December,12.4,37.6,80.7,611.6,3999.2,59625,49361.5,—
1921,January,12.7,39.2,205.8,1040.2,4100.2,65625,55079.5,—
1921,February,12.8,39.2,476,955.1,4143.5,77125,62560.4,—
1921,March,13.1,39.8,908.5,781,4745.7,93625,74087.4,—
1921,April,13.4,40.3,870.7,927,4994.4,106625,86755.3,—
1921,May,13.5,40.1,536.5,1395.2,4979,117625,94575.8,—
1921,June,14.3,41.1,493.6,1557.3,5306.5,130625,102697.3,—
1921,July,19.1,41.5,601.3,2504.2,6291.5,140625,115242.3,—
1921,August,19.2,42,368.7,3885.4,7776.9,158000,133734.2,—
1921,September,19.4,42.5,1217.5,6237.3,9878.6,178000,152792.1,—
1921,October,20.2,42.9,2341.3,9529.5,12022.3,198500,182777.3,—
1921,November,22.6,43.5,7040.1,14347.2,15144.3,214000,207029,—
1921,December,24.9,43.9,12707.9,15324.4,19300,221000,229537.6,—
1922,January,26.3,44.2,13614.2,15951.6,21776.9,227350,239615.3,—
1922,February,28.3,44.4,14207.7,19555,22327.7,230600,247209.5,—
1922,March,29,44.7,1156.4,25451.1,25473.3,232100,250665.5,—
1922,April,29.5,45.2,7388,28688.8,29063.7,220000,260553.8,—
1922,May,30.1,45.3,23073.4,34555,26067,217000,276001.1,—
1922,June,30.9,45.3,20521.4,46629.8,24499.5,235000,300101.1,—
1922,July,31.5,45.4,21741,47661.2,24054.4,260000,335426.6,—
1922,August,31.6,45.4,51747.2,56366.6,21079.9,285000,385787.5,—
1922,September,32.4,45.4,67384.1,64093,22239.4,342000,463706,—
1922,October,33.5,45.4,64060.9,81781.9,26576.5,453500,579972.7,—
1922,November,33.8,45.4,78959,107320.1,41278.1,519500,661092.4,—
1922,December,41,45.4,48580.4,133400.8,47904.1,675600,793437.5,—
1923,January,41.1,44.1,34721.8,174950.1,51899.9,799500,909160.3,—
1923,February,41.4,44.1,71883.7,219610.7,61037.1,1085000,1177300.8,—
1923,March,41.7,44.2,29868.7,274657.8,85323.2,1752000,1841205.6,—
1923,April,41.9,44.2,50851.9,304725.4,156815.4,2161500,2332396.8,—
1923,May,41.9,44.3,43900.7,449440.7,217162.3,2377000,2733794.1,—
1923,June,43.9,39.8,276506.3,627339.5,310862.7,2996500,3566649.1,—
1923,July,46.9,34.8,384375.1,758112.8,390850.9,4190500,4478709,—
1923,August,48,32.9,340354.4,1372150.9,637268.2,6473000,6871776.5,—
1923,September,53.2,20.7,857084.5,2077128.6,670019.6,10265500,11197737.8,—
1923,October,54.2,19.1,1510794.3,3540434.4,1836712.7,19080500,23080402.2,—
1923,November,54.3,19.5,6499791.5,8467033.7,3951781.9,42854000,53217494.6,—
1923,December,54.9,19.6,57499741.7,20588037.9,28065396.8,111332000,125371955.3,—
1924,January,66.2,19.8,91533085.2,"43,916.802.8",54181445.2,238200000,313659830,—
1924,February,66.7,19.8,172626128.8,67216289.7,83829440.5,291700000,528913418.7,—
1924,March,68,20.3,220658210.7,138649934.8,81231988.5,291700000,596244205.6,—
1924,April,55.7,21.2,277340925.7,199248956.4,60589081,291700000,570697550.5,—
1924,May,—,—,214191336,126522906,1801936,—,244977010,11684963
1924,June,—,—,256972386,138862243,5826971,—,334405730,83392914
1924,July,—,—,272137898,166713469,8236693,—,394262550,93683430
1924,August,—,—,266390583,199710736,8224610,—,430263045,98288324
1924,September,—,—,233646562,233788177,9230850,—,460383770,99900015
1924,October,100686634,16521223,241894738,245054984,12374342,—,503701830,—
1924,November,102809285,21951828,247034974,249560999,12371166,—,497600470,—
1924,December,103362870,27543698,269045551,256954853,23897766,—,550873960,—
1925,January,104249258,27658749,242115258,270423615,23468829,—,553174980,—
1925,February,107032735,27481871,206317320,286229180,28467930,18222212,549637420,—
1925,March,116619825,28158597,259392902,306562690,25477638,403354,563171945,—
1925,April,117428697,28358000,216114621,294632508,27319944,35977630,567178830,—
,,,,,,,,,
,,,,,,,,,
"Source: Young (1925, 2:348).",,,,,,,,,
"Note: Gold at par; silver coin at face value.",,,,,,,,,
"Note: After conversion of State Loan Bank into Bank of Poland, starting in May 1924				
ﬁgures in gold zlotys; no ciphers omitted; 1 zloty = 19.3 cents				",,,,,,,,,
"Note:  Gold and silver together from May 1924-September 1924",,,,,,,,,
