"Tables 3.15 Polish Index Numbers of Wholesale Prices, 1921-1925",,,,
Year,Month,"Wholesale price index","Wholesale Price Index: On paper currency basis","Wholesale Price Index: On zloty basis"
1921,January,25139,—,—
1921,February,31827,—,—
1921,March,32882,—,—
1921,April,31710,—,—
1921,May,32639,—,—
1921,June,35392,—,—
1921,July,45654,—,—
1921,August,53100,—,—
1921,September,60203,—,—
1921,October,65539,—,—
1921,November,58583,—,—
1921,December,57046,—,—
1922,January,59231,—,—
1922,February,63445,—,—
1922,March,73465,—,—
1922,April,75106,—,—
1922,May,78634,—,—
1922,June,87694,—,—
1922,July,101587,—,—
1922,August,135786,—,—
1922,September,152365,—,—
1922,October,201326,—,—
1922,November,275647,—,—
1922,December,346353,—,—
1923,January,544690,—,—
1923,February,859110,—,—
1923,March,988500,—,—
1923,April,988500,1058920,—
1923,May,—,1125350,—
1923,June,—,1881410,—
1923,July,—,3069970,—
1923,August,—,5294680,89
1923,September,—,7302200,95
1923,October,—,27380680,73
1923,November,—,67943700,81
1923,December,—,142300700,95
1924,January,—,242167700,107
1924,"February ",—,248429600,112
1924,March,—,245277900,110
1924,April,—,242321800,109
1924,May,—,—,104
1924,June,—,—,101
1924,July,—,—,102
1924,August,—,—,109
1924,September,—,—,112
1924,October,—,—,116
1924,November,—,—,117
1924,December,—,—,118
1925,January,—,—,120
1925,February,—,—,121
1925,March,—,—,122
1925,April,—,—,118
1925,May,—,—,118
,,,,
,,,,
"Source: Young (1925, 2:349).",,,,
"Note: Price index base year 1914 = 100.",,,,
