"Table 3.16 Polish Exchange Rate, 1919–25",,
Year,Month,"Cents per Polish mark (zloty after May 1924)"
1919,July,6.88
1919,August,5.63
1919,September,3.88
1919,October,3.08
1919,November,1.88
1919,December,1.29
1920,January,0.7
1920,February,0.68
1920,March,0.67
1920,April,0.6
1920,May,0.51
1920,June,0.59
1920,July,0.61
1920,August,0.47
1920,September,0.45
1920,October,0.37
1920,November,0.26
1920,December,0.16
1921,January,0.145
1921,February,0.13
1921,March,0.132
1921,April,0.13
1921,May,0.124
1921,June,0.082
1921,July,0.0516
1921,August,0.0489
1921,September,0.0256
1921,October,0.0212
1921,November,0.029
1921,December,0.0313
1922,January,0.0327
1922,February,0.0286
1922,March,0.0236
1922,April,0.0262
1922,May,0.0249
1922,June,0.0237
1922,July,0.0185
1922,August,0.0135
1922,September,0.0127
1922,October,0.0095
1922,November,0.0065
1922,December,0.0057
1923,January,0.0043
1923,February,0.0025
1923,March,0.0024
1923,April,0.0023
1923,May,0.0021
1923,June,0.0013
1923,July,0.0007
1923,August,0.0004
1923,September,0.00035
1923,October,0.0001113
1923,November,5.02E-05
1923,December,2.34E-05
1924,January,1.16E-05
1924,February,1.09E-05
1924,March,1.13E-05
1924,April,1.14E-05
1924,May,—
1924,June,10.29
1924,July,19.25
1924,August,19.23
1924,September,19.22
1924,October,19.22
1924,November,19.21
1924,December,19.2
1925,January,19.18
1925,February,19.18
1925,March,19.18
1925,April,19.18
1925,May,19.18
1925,June,19.18
,,
"Source: Young (1925, 2:350).",,
"Note: Cents per zloty May 1924",,
