"Table 3.17 Polish Unemployed",,
Year,Month,"Number Unemployed"
1921,January,74000
1921,February,90000
1921,March,80000
1921,April,88000
1921,May,130000
1921,June,115000
1921,July,95000
1921,August,65000
1921,September,70000
1921,October,78000
1921,November,120000
1921,December,173000
1922,January,221444
1922,February,206442
1922,March,170125
1922,April,148625
1922,May,128916
1922,June,98581
1922,July,85240
1922,August,69692
1922,September,68000
1922,October,61000
1922,November,62000
1922,December,75000
1923,January,81184
1923,February,106729
1923,March,114576
1923,April,112755
1923,May,93731
1923,June,76397
1923,July,64563
1923,August,56515
1923,September,—
1923,October,—
1923,November,—
1923,December,67581
1924,January,100580
1924,February,110737
1924,March,112583
1924,April,109000
1924,May,84000
1924,June,97870
1924,July,149097
1924,August,159820
1924,September,155245
1924,October,147065
1924,November,150180
1924,December,159060
,,
"Source: Statistiches Jahrbuch für das Deutsche Reich (1924/25).",,
