"Table 3.18 German Wholesale Prices,1914–24",,
Year,Month,"Price index (on basis of marks before July 1924,  reichsmarks after)"
1914,January,96
1914,February,96
1914,March,96
1914,April,95
1914,May,97
1914,June,99
1914,July,99
1914,August,109
1914,September,111
1914,October,118
1914,November,123
1914,December,125
1915,January,126
1915,February,133
1915,March,139
1915,April,142
1915,May,139
1915,June,139
1915,July,150
1915,August,146
1915,September,145
1915,October,147
1915,November,147
1915,December,148
1916,January,150
1916,February,151
1916,March,148
1916,April,149
1916,May,151
1916,June,152
1916,July,161
1916,August,159
1916,September,154
1916,October,153
1916,November,151
1916,December,151
1917,January,156
1917,February,158
1917,March,159
1917,April,163
1917,May,163
1917,June,165
1917,July,172
1917,August,203
1917,September,199
1917,October,201
1917,November,203
1917,December,203
1918,January,204
1918,February,198
1918,March,198
1918,April,204
1918,May,203
1918,June,209
1918,July,208
1918,August,235
1918,September,230
1918,October,234
1918,November,234
1918,December,245
1919,January,262
1919,February,270
1919,March,274
1919,April,286
1919,May,297
1919,June,308
1919,July,339
1919,August,422
1919,September,493
1919,October,562
1919,November,678
1919,December,803
1920,January,1260
1920,February,1690
1920,March,1710
1920,April,1570
1920,May,1510
1920,June,1380
1920,July,1370
1920,August,1450
1920,September,1500
1920,October,1470
1920,November,1510
1920,December,1440
1921,January,1440
1921,February,1380
1921,March,1340
1921,April,1330
1921,May,1310
1921,June,1370
1921,July,1430
1921,August,1920
1921,September,2070
1921,October,2460
1921,November,3420
1921,December,3490
1922,January,3670
1922,February,4100
1922,March,5430
1922,April,6360
1922,May,6460
1922,June,7030
1922,July,10160
1922,August,19200
1922,September,28700
1922,October,56600
1922,November,115100
1922,December,147480
1923,January,278500
1923,February,588500
1923,March,488800
1923,April,521200
1923,May,817000
1923,June,1938500
1923,July,7478700
1923,August,94404100
1923,September,2394889300
1923,October,709480000000
1923,November,72570000000000
1923,December,126160000000000
1924,January,117320000000000
1924,February,116170000000000
1924,March,120670000000000
1924,April,124050000000000
1924,May,122460000000000
1924,June,115900000000000
1924,July,115
1924,August,120
1924,September,127
1924,October,131
1924,November,129
1924,December,131
,,
"Source: Young (1925, 1:503).",,
"Note: On basis of prices in reichsmarks after June 1924. [1 reichsmark = 1 trillion (1e12 ) former
marks.]",,
