"Table 3.19 German Exchange Rates, 1914–25",,
Year,Month,"Cents per mark"
1920,January,1.69
1920,February,1.05
1920,March,1.26
1920,April,1.67
1920,May,2.19
1920,June,2.56
1920,July,2.53
1920,August,2.1
1920,September,1.72
1920,October,1.48
1920,November,1.32
1920,December,1.37
1921,January,1.6
1921,February,1.64
1921,March,1.6
1921,April,1.57
1921,May,1.63
1921,June,1.44
1921,July,1.3
1921,August,1.19
1921,September,0.96
1921,October,0.68
1921,November,0.39
1921,December,0.53
1922,January,0.52
1922,February,0.48
1922,March,0.36
1922,April,0.35
1922,May,0.34
1922,June,0.32
1922,July,0.2
1922,August,0.1
1922,September,0.07
1922,October,0.03
1922,November,0.01
1922,December,0.01
1923,January,0.007
1923,February,0.004
1923,March,0.005
1923,April,0.004
1923,May,0.002
1923,June,0.001
1923,July,0.0003
1923,August,3.39E-05
1923,September,1.88E-06
1923,October,6.8E-08
1923,November,4.3E-11
1923,December,2.27E-11
1924,January,22.6
1924,February,21.8
1924,March,22
1924,April,22
1924,May,22.3
1924,June,23.4
1924,July,23.9
1924,August,23.8
1924,September,23.8
1924,October,23.8
1924,November,23.8
1924,December,23.8
1925<s>a</s>,January,23.8
,,
,,
"Source: Young (1925, 1:503).",,
"a Cents per rentenmark and (after October 1924) per reichsmark. 1 rentenmark is",,
"equivalent to 1 reichsmark or 1 billion former paper marks. The reichsmark is",,
"the equivalent of the gold mark worth 23.82 cents.",,
