"Table 3.2 Total Note Circulation of Austrian Crowns, in thousands of crowns",,
Year,Month,"Total Note Circulation"
1919,January,—
1919,February,—
1919,March,4687056
1919,April,5577851
1919,May,5960003
1919,June,7397692
1919,July,8391405
1919,August,9241135
1919,September,9781112
1919,October,10819310
1919,November,11193670
1919,December,12134474
1920,January,13266878
1920,February,14292809
1920,March,15457749
1920,April,15523832
1920,May,15793805
1920,June,16971344
1920,July,18721495
1920,August,20050281
1920,September,22271686
1920,October,25120385
1920,November,28072331
1920,December,30645658
1921,January,34525634
1921,February,34525634
1921,March,41067299
1921,April,45036723
1921,May,45583194
1921,June,49685140
1921,July,54107281
1921,August,58533766
1921,September,70170798
1921,October,—
1921,November,—
1921,December,—
1922,January,227015925
1922,February,259931138
1922,March,304063642
1922,April,346697776
1922,May,397829313
1922,June,549915678
1922,July,786225601
1922,August,1353403632
1922,September,2277677738
1922,October,2970916607
1922,November,3417786498
1922,December,4080177238
1923,January,4110551163
1923,February,4207991722
1923,March,4459117216
1923,April,4577382333
1923,May,4837042081
1923,June,5432619312
1923,July,5684133721
1923,August,5894786367
1923,September,6225109352
1923,October,6607839105
1923,November,6577616341
1923,December,7125755190
1924,January,6735109000
1924,February,7364441000
1924,March,7144901000
1924,April,7135471000
1924,May,7552620000
1924,June,7774958000
1924,July,7995647000
1924,August,5894786367
1924,September,7998509000
1924,October,8213003000
1924,November,8070021000
1924,December,8387767000
1925,January,7902217000
1925,February,7957242000
1925,March,7897792000
1925,April,7976420000
,,
"Source: Young (1925, 2:292).",,
