"Table 3.21 Balance Sheet of German Reichsbank, 1921-24",,,,,,,,,,,,,,,,,,,,,
Year,Month,Day,"Gold Held Abroad","Gold In vault","Gold Total","Other metallic currency","Total coin and bullion","Foreign exchange","Treasury and loan bank notes","Notes of other banks","Rentenbank notes","Discounted bills: Treasury bills","Discounted bills: Commercial bills","Total discounted treasury and commercial bills",Advances,Securities,"Notes in circulation","Public Demand deposits","Other Demand deposits","Total demand deposits","Demand deposits due to the Rentenbank"
1921,January,—,—,—,1091635,6377,1098012,—,22810443,2266,—,50594540,2742406,53336946,8881,147126,66620804,4055904,11778060,15833964,—
1921,February,—,—,—,1091616,7974,1099590,—,21982303,1502,—,53690412,2760927,56451339,11522,185788,67426959,7291052,10066036,17357088,—
1921,March,—,—,—,1091604,9012,1100616,—,23836278,1407,—,64533894,2268745,66802639,2805,217044,69417228,15206381,12836292,28042673,—
1921,April,—,—,—,1091579,8857,1100436,—,24149059,1393,—,58841630,2052099,60893729,9238,225777,70839725,11595618,9260271,20855889,—
1921,May,—,—,—,1091574,9482,1101056,—,14361888,2000,—,62953604,1809936,64763540,16624,258664,71838866,3548492,10545201,14093693,—
1921,June,—,—,—,1091563,11205,1102768,—,8311208,1738,—,79607790,1565406,81173496,6079,282716,75321095,5647805,14744903,20392708,—
1921,July,—,—,—,1091557,14258,1105815,—,5397594,1198,—,79981967,1135529,81117496,10686,283381,77390853,4810026,11014130,15824156,—
1921,August,—,—,—,1023708,16848,1040556,—,3044888,3644,—,84043891,1002497,85046388,7704,258319,80072721,4850843,8798756,13649599,—
1921,September,—,—,—,1023704,16064,1039768,—,3128791,2618,—,98422137,1142218,99564355,3289,277977,86384286,4618087,15362208,19980295,—
1921,October,—,—,—,993631,14237,1007868,—,4589992,3082,—,98704768,881474,99586242,47775,282179,91527679,5239628,13063035,18302663,—
1921,November,—,—,—,993698,12995,1006693,—,4472583,4066,—,114023417,1445667,115469084,90370,247699,100943632,5144615,20168499,25313114,—
1921,December,—,—,—,995392,11612,1007004,—,6963607,2084,—,132330906,1061754,133392660,8476,195912,113639464,7591343,25314330,32905673,—
1922,January,—,—,—,995690,13493,1009183,—,5807290,4059,—,126160402,1592416,127752818,20548,198725,115375766,5286950,18125502,23412452,—
1922,February,—,—,—,996388,15590,1011978,—,4633744,3841,—,134251808,1856936,136108744,62305,25362,120026387,5806922,20719150,26526072,—
1922,March,—,16144,980733,996877,19286,1016163,—,6272763,4553,—,146531247,2151677,148682924,20688,205936,130671352,7743735,25614597,33358332,—
1922,April,—,47207,953660,1000867,19269,1020136,—,3898700,4123,—,155617524,2403044,158020568,134314,229242,140420057,7577862,24038306,31616168,—
1922,May,—,50032,952832,1002864,18768,1021632,—,4901822,4877,—,167793922,3376599,171170521,54361,199314,151949179,7711279,25416711,33127990,—
1922,June,—,50032,953827,1003859,19743,1023602,—,14605085,4257,—,186125747,4751748,190877495,58994,307564,169211792,10125837,27047908,37173745,—
1922,July,—,50032,954828,1004860,19990,1024850,—,13083023,4890,—,207858232,8122066,215980298,141276,313488,189794722,9197727,30778489,39976216,—
1922,August,—,50032,954827,1004859,22656,1027515,—,23239947,3759,—,249765773,21704341,271470114,172966,241162,238147160,13708213,42416241,56124454,—
1922,September,—,50032,954824,1004856,28884,1033740,—,21828959,1531,—,349169650,50234414,400004064,61516,416193,316869799,30034309,79978068,110012377,—
1922,October,—,50032,954821,1004853,63143,1067996,—,41026323,3625,—,477201494,101155267,578356761,624368,502348,469456818,34270926,106508333,140779259,—
1922,November,—,50032,954816,1004848,64782,1069630,—,77786910,9526,—,672222197,246948596,919170793,"51,425,030<s>a</s>",381068,754086109,50353945,190615514,240969459,—
1922,December,—,50032,954811,1004843,69195,1074038,—,238481105,10393,—,1184464359,422235296,1606699655,773974,469972,1280094831,153190991,377335296,530526287,—
1923,January,—,50032,954800,1004832,69528,1074360,—,380902256,14009,—,1609081121,697216424,2306297545,95316552,483318,1984496469,157058537,605205692,763264229,—
1923,February,—,50032,954797,1004829,69424,1074253,—,708305283,111870,—,2947363994,1829341080,4776705074,27422282,1209935,3512787777,253915266,1329065770,1582981036,—
1923,March,—,164952,839878,1004830,6050558,7055388,—,1147004307,166484,—,4552011661,2372101757,6924113418,2132906,1690011,5517919651,368550293,1903533291,2272083584,—
1923,April,—,217282,702627,919909,13597431,14517340,—,1464270320,350587,—,6224899348,2986116724,9211016072,20466948,1207105,6545984355,454403079,3399871714,3854274793,—
1923,May,—,181032,576883,757915,15026230,15784145,—,1892215265,343582,—,8021904840,4014693720,12036598560,61030322,697611,8563749470,652575366,4410494865,5063070231,—
