"Table 3.22 Ordinary Revenues and Expenditures of the German Federal Government, From Wirtschift und Statistik, issued by the Statistisches Reichsamt, in millions of gold marks",,,,,
Year,Month,"Ordinary revenue total","Ordinary revenue of which taxes yielded","Ordinary expenditures","Excess of revenue (+) or expenditure (-)"
1923,November,68.1,63.2,—,—
1923,December,333.9,312.3,668.7,-334.8
1924,January,520.6,503.5,396.5,124.1
1924,February,445,418,462.8,-17.8
1924,March,632.4,595.3,498.6,133.8
1924,April,579.5,523.8,523.5,56
1924,May,566.7,518.7,459.1,107.6
1924,June,529.7,472.3,504.5,25.2
1924,July,622.2,583.1,535.1,86.9
1924,August,618.2,592,597.6,20.6
1924,September,665.6,609.2,581.6,84
1924,October,714.3,686.7,693,21.3
,,,,,
"Source: Young (1925, 1:422).",,,,,
