"Table 3.24 Czechoslovakia, Receipts and Expenditures 1919-1924, Exclusive of expenditures for capital improvements covered by loans",,,,,,,,
Year,Type,"Ordinary Revenue","Extraordinary Revenue","Total Revenue","Ordinary Expenditure","Extraordinary Revenue",Total,"Deﬁcit (-) or Surplus (+)"
1919,"Estimated ",2614,1096,3710,2610,6005,8615,-4905
1919,Actual,—,—,—,—,—,7450,—
1920,Estimated,7950,2477,10427,7175,8103,15278,-4851
1920," Actual",—,—,13455,—,—,13931,-476
1921,Estimated,15923,1376,17299,10672,7354,18026,-727
1921,Actual,—,—,21894,—,—,18558,3336
1922,Estimated,17291,1593,18884,13289,6524,19813,-929
1922,Actual,—,—,17733,—,—,18663,-930
1923,Estimated,17961,851,18812,13605,5773,19378,-565
1923,Actual,—,—,15664,—,—,16540,-876
1924,Estimated,15987,404,16391,12200,4703,16993,-603
1924,Actual,—,—,—,—,—,—,—
1925,"Estimated ",—,—,15702,—,—,15974,-272
1925,Actual,—,—,—,—,—,—,—
,,,,,,,,
"Source: Young (1925, 2:71).",,,,,,,,
