"Table 3.25 Note Issue of Banking Office of Czechoslovakia, 1919-1924 in thousands of Czech crowns",,
Year,Month,"State notes in circulation"
1919,April,—
1919,May,—
1919,June,—
1919,July,161106
1919,August,664997
1919,September,1443570
1919,October,2512199
1919,November,3513405
1919,December,4723303
1920,January,5574688
1920,February,6462825
1920,March,7216438
1920,April,7216438
1920,May,8268695
1920,June,9729233
1920,July,9267874
1920,August,9814920
1920,September,10310228
1920,October,10920514
1920,November,10946653
1920,December,11288512
1921,January,10888319
1921,February,10914786
1921,March,10921956
1921,April,10928560
1921,May,10851403
1921,June,11167515
1921,July,11134327
1921,August,11455175
1921,September,11570881
1921,October,12327159
1921,November,11871647
1921,December,12129573
1922,January,11230065
1922,February,10743958
1922,March,10323069
1922,April,10075757
1922,May,9717750
1922,June,9838205
1922,July,9916077
1922,August,10171383
1922,September,10196880
1922,October,10139366
1922,November,9996550
1922,December,10064049
1923,January,9222434
1923,February,8947988
1923,March,9157407
1923,April,9567369
1923,May,9327676
1923,June,9375991
1923,July,9448086
1923,August,9218475
1923,September,9311378
1923,October,9278999
1923,November,9250688
1923,December,9598903
1924,January,8820093
1924,February,8506467
1924,March,8280390
1924,April,8198653
1924,May,9078418
1924,June,8081106
1924,July,8090034
1924,August,9139792
1924,September,8222658
1924,October,8585847
1924,November,8500942
1924,December,8810357
1925,January,7916540
1925,February,7727880
1925,March,7680867
1925,April,7525934
,,
"Source: Young (1925, 2:305–6).",,
