"Table 3.26 Czechoslovakian Exchange Rates,1919–24",,
Year,Month,"Cents per crown"
1919,January,—
1919,February,—
1919,March,—
1919,April,6.135
1919,May,—
1919,June,—
1919,July,5.625
1919,August,4.575
1919,September,4.575
1919,October,3.1
1919,November,1.95
1919,December,1.9
1920,January,1.425
1920,February,0.975
1920,March,1.275
1920,April,1.53
1920,May,2.195
1920,June,2.335
1920,July,2.195
1920,August,1.81
1920,September,1.535
1920,October,1.245
1920,November,1.165
1920,December,1.19
1921,January,1.3
1921,February,1.29
1921,March,1.307
1921,April,1.365
1921,May,1.46
1921,June,1.42
1921,July,1.312
1921,August,1.225
1921,September,1.16
1921,October,1.049
1921,November,1.038
1921,December,1.249
1922,January,1.732
1922,February,1.855
1922,March,1.733
1922,April,1.96
1922,May,1.921
1922,June,1.924
1922,July,2.185
1922,August,2.902
1922,September,3.231
1922,October,3.285
1922,November,3.176
1922,December,3.097
1923,January,2.856
1923,February,2.958
1923,March,2.969
1923,April,2.978
1923,May,2.979
1923,June,2.993
1923,July,2.997
1923,August,2.934
1923,September,2.995
1923,October,2.971
1923,November,2.906
1923,December,2.925
1924,January,2.898
1924,February,2.902
1924,March,2.902
1924,April,2.957
1924,May,2.939
1924,June,2.936
1924,July,2.953
1924,August,2.979
1924,September,2.993
1924,October,2.981
1924,November,2.989
1924,December,3.018
1925,January,3
1925,February,2.96
1925,March,2.97
1925,April,2.96
1925,May,2.96
1925,June,2.96
,,
"Source: Young (1925, 2:307).",,
