"Table 3.27 Czechoslovakian Wholesale Prices,1922–24",,
Year,Month,"Wholesale price index"
1922,January,1675
1922,February,1520
1922,March,1552
1922,April,1491
1922,May,1471
1922,June,1471
1922,July,1464
1922,August,1386
1922,September,1155
1922,October,1059
1922,November,1017
1922,December,999
1923,January,1003
1923,February,1019
1923,March,1028
1923,April,1031
1923,May,1030
1923,June,1001
1923,July,968
1923,August,958
1923,September,957
1923,October,973
1923,November,965
1923,December,984
1924,January,974
1924,February,999
1924,March,1021
1924,April,1008
1924,May,1015
1924,June,981
1924,July,953
1924,August,986
1924,September,982
1924,October,999
1924,November,1013
1924,December,1024
1925,January,1045
1925,February,1048
1925,March,1034
1925,April,1019
1925,May,1006
,,
"Source: Young (1925, 2:307).",,
"Note: July 1914 = 100.",,
