"Table 3.3 Austrian Retail Prices, 1921–24",,
Year,Month,"Retail price index, 52 commodities"
1921,January,100
1921,February,114
1921,March,122
1921,April,116
1921,May,121
1921,June,150
1921,July,143
1921,August,167
1921,September,215
1921,October,333
1921,November,566
1921,December,942
1922,January,1142
1922,February,1428
1922,March,1457
1922,April,1619
1922,May,2028
1922,June,3421
1922,July,4830
1922,August,11046
1922,September,20090
1922,October,18567
1922,November,17681
1922,December,17409
1923,January,17526
1923,February,17851
1923,March,18205
1923,April,19428
1923,May,20450
1923,June,20482
1923,July,19368
1923,August,18511
1923,September,20955
1923,October,21166
1923,November,21479
1923,December,21849
1924,January,22941
1924,February,23336
1924,March,23336
1924,April,23361
1924,May,23797
1924,June,24267
,,
"Source: Young (1925, 2:293).",,
