"Table 3.4 Exchange Rates  Austrian  Crowns per US dollar, in New York market",,
Year,Month,"Exchange Rate"
1919,January,17.09
1919,February,20.72
1919,March,25.85
1919,April,26.03
1919,May,24.75
1919,June,29.63
1919,July,37.24
1919,August,42.5
1919,September,68.5
1919,October,99.5
1919,November,130
1919,December,155
1920,January,271.43
1920,February,250
1920,March,206.66
1920,April,200
1920,May,155.83
1920,June,145
1920,July,165
1920,August,237.14
1920,September,255
1920,October,358.33
1920,November,493.66
1920,December,659.4
1921,January,654
1921,February,722.5
1921,March,676
1921,April,661
1921,May,604
1921,June,720
1921,July,957
1921,August,1081.5
1921,September,2520
1921,October,4355
1921,November,8520
1921,December,5275
1922,January,7375
1922,February,6350
1922,March,7487.5
1922,April,7937.5
1922,May,11100
1922,June,18900
1922,July,42350
1922,August,77300
1922,September,74210
1922,October,73550
1922,November,71400
1922,December,70925
1923,January,71500
1923,February,71150
1923,March,71000
1923,April,70850
1923,May,70800
1923,June,70800
1923,July,70760
1923,August,70760
1923,September,70760
1923,October,70760
1923,November,70760
1923,December,70760
1924,January,70760
1924,February,70760
1924,March,70760
1924,April,70760
1924,May,70760
1924,June,70760
1924,July,70760
1924,August,70760
1924,September,70760
1924,October,70760
1924,November,70760
1924,December,70760
,,
"Source: Young (1925, 2:294).",,
