"Table 3.6 Austrian National Bank Balance Sheet, in millions of crowns",,,,,,,
Year,Month,Gold,"Foreign Exchange and Currency","Loans and discounts","Treasury bills","Notes in circulation",Deposits
1923,January,49304,1058244,731046,2556848,4110551,279092
1923,February,83438,1029134,728884,2552682,4207992,178752
1923,March,86097,1336385,821397,2550159,4459117,329109
1923,April,73270,1439999,741858,2550159,4577382,226273
1923,May,73391,1682209,875942,2550159,4837042,343339
1923,June,73391,2532316,730848,2547212,5432619,362237
1923,July,73391,2947216,658966,2539777,5684134,535121
1923,August,73391,3050085,647936,2538719,5894786,413383
1923,September,73391,3126599,863317,2537661,6225109,373673
1923,October,62117,3356232,1069340,2536604,6607839,414882
1923,November,62117,3504652,1094620,2535547,6577616,617321
1923,December,83177,3832132,1325380,2534490,7125755,649424
1924,January,91274,3811148,1253110,2533434,6735109,536982
1924,February,105536,3921594,1737334,2532379,7364441,558800
1924,March,106663,3953872,1733400,2295428,7144901,752814
1924,April,107059,3669333,2131984,2294471,7315471,696141
1924,May,107443,3344337,2660449,2259839,7554620,641001
1924,June,107762,3178339,3092470,2237794,7774958,741400
1924,July,108342,3254477,3304876,2231173,7995647,896032
1924,August,108256,3453177,3226962,2219459,8002142,997677
1924,September,108950,3724916,2852688,2210527,7998509,890537
1924,October,109327,4032485,2379700,2202106,8213003,502579
1924,November,110643,4312355,1945627,2196181,8072021,484750
1924,December,110890,4770548,1881593,2178185,8387767,533450
1925,January,111314,3337911,1545295,2172491,7902217,438390
1925,February,111474,3310032,1285158,2150151,7957242,315771
1925,March,111649,3202802,1047719,2107949,7897792,295498
1925,April,112168,3474672,1059069,2088777,7976420,236957
,,,,,,,
"Source: Young (1925, 2:291).",,,,,,,
