"Table 3.9 Balance Sheet of Hungarian Central Bank or State Note Institute in millions of kronen",,,,,,,,,
Year,Month,"Gold coin and bullion","Silver coin","Foreign currency and exchange","Bills discounted","Advances on securities","Advances to treasury","Notes in circulation","Currrent accounts and deposits"
1921,January,—,—,—,10924,195,—,15206,3851
1921,February,—,—,—,13202,162,—,15571,5531
1921,March,—,—,—,12862,160,—,15650,5246
1921,April,—,—,—,12178,110,—,13114,6802
1921,May,—,—,—,11847,111,—,13686,5760
1921,June,—,—,—,11693,108,—,18096,1162
1921,July,—,—,—,11787,107,—,15799,3532
1921,August,4,1,—,17799,1199,—,17326,2975
1921,September,5,1,—,20994,1194,—,20845,2407
1921,October,12,1,—,22403,1185,900,23643,2154
1921,November,12,1,—,23650,1176,1000,24742,2353
1921,December,12,1,—,23859,1158,900,25175,2240
1922,January,13,1,—,24195,1147,1300,25680,2488
1922,February,13,1,—,23952,1504,1900,26758,2354
1922,March,13,1,—,24574,1565,3000,29327,2224
1922,April,13,1,—,25120,1565,4100,30580,2901
1922,May,13,1,—,25326,1560,5500,31930,3289
1922,June,13,1,—,25445,1556,6900,33600,3741
1922,July,13,1,—,28783,1546,7200,38357,3929
1922,August,13,1,—,37617,1773,7600,46242,5417
1922,September,14,1,—,46963,1848,8900,58458,5929
1922,October,14,1,—,51631,1728,12000,70005,5189
1922,November,15,1,—,49246,1861,12500,72016,6408
1922,December,16,1,—,50702,2016,16500,75887,4761
1923,January,14,1,—,54516,2007,20000,73717,5888
1923,February,23,1,—,58358,2013,24000,75135,6600
1923,March,23,1,—,71284,2584,29000,82205,11152
1923,April,23,1,—,83800,2817,37000,100101,9793
1923,May,23,1,—,93396,1763,47200,119285,10609
1923,June,23,1,—,120608,2490,59700,154996,12742
1923,July,22,1,—,165927,1762,79700,226285,21977
1923,August,22,1,—,273605,1789,143000,399487,23629
1923,September,22,1,—,380454,1776,243000,588810,60246
1923,October,23,1,—,494501,1663,269000,744926,60176
1923,November,23,1,—,531403,1047,306000,853989,74970
1923,December,23,1,—,582117,935,401000,931337,84791
1924,January,24,1,—,654294,9346,526000,1084677,105481
1924,February,23,1,—,746471,34023,699000,1278437,164838
1924,March,24,1,—,802756,4598,824000,1606875,253935
1924,April,24,1,—,1125898,12456,944000,2098091,308121
1924,May,24,1,—,1420385,13437,1054000,2486257,527137
1924,June,246947,9823,681268,1192517,17566,1980000,2893719,1135710
1924,July,441832,13545,1110926,1257597,—,1980000,3277943,1424578
1924,August,449945,13558,1382885,1438454,—,1978130,3659757,1473231
1924,September,540425,13560,1385880,1756636,—,1977306,4115925,1416400
1924,October,503377,13301,1658674,1872385,—,1976455,4635090,1465356
1924,November,508411,13301,1816102,1984540,—,1975631,4442644,1929754
1924,December,532842,13299,1933356,1976888,—,1974781,4513990,2069468
1925,January,509848,12373,1967314,1848620,—,1973930,4449650,2138629
1925,February,596334,12374,1989096,1676594,—,1973163,4237985,2542262
1925,March,669107,12374,1984006,1514532,—,1969809,4270096,2552762
1925,April,653534,12136,2081998,1485898,—,1968987,4526216,2470507
,,,,,,,,,
"Source: Young (1925, 2:321).",,,,,,,,,
"Note: Figures prior to June 1924 are those of the State Note Institute. The Hungarian",,,,,,,,,
"National Bank opened 24 June 1924 and took over the affairs of the institute.",,,,,,,,,
"After June 1924 gold and silver holdings are shown in terms of paper crowns.",,,,,,,,,
"Other changes were also made in the presentation of accounts after the opening",,,,,,,,,
"of the new Hungarian National Bank in June.",,,,,,,,,
