"Table 4.1 French Wholesale Prices Index",,
Year,Month,"Wholesale Prices Index"
1923,January,386.9
1923,February,421.8
1923,March,424
1923,April,414.7
1923,May,406.5
1923,June,408.7
1923,July,406.7
1923,August,413.1
1923,September,423.6
1923,October,420.5
1923,November,442.9
1923,December,458.6
1924,January,494
1924,February,543.7
1924,March,499.3
1924,April,450
1924,May,458.5
1924,June,465.3
1924,July,481
1924,August,476.6
1924,September,485.6
1924,October,497.1
1924,November,503.5
1924,December,507.2
1925,January,514.4
1925,February,515
1925,March,513.5
1925,April,512.8
1925,May,519.8
1925,June,542.6
1925,July,556.8
1925,August,557.2
1925,September,555.7
1925,October,572.3
1925,November,605.5
1925,December,632.4
1926,January,633.5
1926,February,635.6
1926,March,631.8
1926,April,650.1
1926,May,687.9
1926,June,738.4
1926,July,836.2
1926,August,769.5
1926,September,786.9
1926,October,751.5
1926,November,683.8
1926,December,626.5
1927,January,621.8
1927,February,631.6
1927,March,641.4
1927,April,636.5
1927,May,628.6
1927,June,622.6
1927,July,619.9
1927,August,617.9
1927,September,600.3
1927,October,587.5
,,
"Note: Base 1913=100, 1913 from 1901–10 index =115.6",,
"Source: League of Nations Bulletin, Haig (1929, p. 448).",,
