"4.10 Net Purchases (+) or Sales (-) of Government Debt, By Maturity",,,,,,,,,,,
"Year Beginning","Year Ending","Month Beginning","Month Ending",Quarter,"Financial years","Total stocks","Redemptions and conversions","Up to 1 year","Over 1 year and up to 5 years","Over 5 years and up to 15 years","Over 15 years and dated"
1975,1976,April,March,—,1975/1976,4159,-735,-1120,2196,1008,2810
1976,1977,April,March,—,1976/1977,6290,-703,-1402,2600,817,4978
1977,1978,April,March,—,1977/1978,6684,-672,-2259,2931,2826,3858
1978,1979,April,March,—,1978/1979,6256,-404,1098,1994,1441,4323
1979,1980,April,March,—,1979/1980,8977,-1133,-2068,-2333,2905,6940
1978,1978,July,September,2,1978/1979,793,-151,-364,257,154,897
1978,1978,October,December,3,1978/1979,1288,-16,-57,2,802,557
1979,1979,January,March,4,1978/1979,2254,-234,-324,824,486,1502
1979,1979,April,June,1,1979/1980,2732,-1,-314,358,1159,1530
1979,1979,July,September,2,1979/1980,2648,-403,-932,1062,496,2425
1979,1979,October,December,3,1979/1980,2511,-431,-178,159,1317,1644
1980,1980,January,March,4,1979/1980,1086,-298,-644,754,-67,1341
1980,1980,April,June,1,1980/1981,3377,-544,-574,1358,943,2194
1980,1980,July,September,2,1980/1981,3186,-19,-136,-261,3130,472
1980,1980,October,December,3,1980/1981,3055,-263,-734,1186,1425,1441
,,,,,,,,,,,
QUARTER?,,,,,,,,,,,
SOURCE?,,,,,,,,,,,
