"Table 4.11 Calculated Redemption Yields of Government Bonds, Percent per annum",,,,,
Year,Month,Day,"Short Dated (5 years)","Medium-dated (10 years)","Long-dated (20 years)"
1980,October,"Last working",13.15,13.29,13.15
1980,November,"Last working",12.97,13.43,13.35
1980,December,"Last working",13.3,13.89,13.8
1981,January,"Last working",13.21,13.86,13.86
1981,February,"Last working",13,13.84,13.94
1980,October,20,13.07,13.33,13.23
1980,October,27,12.93,13.07,12.95
1980,November,3,13.29,13.4,13.24
1980,November,10,13.38,13.53,13.35
1980,November,17,13.11,13.26,13.1
1980,November,24,13.03,13.22,13.08
1980,December,1,12.95,13.34,13.26
1980,December,8,13.04,13.44,13.34
1980,December,15,13.62,14.08,13.94
1980,December,22,13.18,13.79,13.7
1980,December,29,13.28,13.88,13.8
1981,January,5,13.19,13.89,13.85
1981,January,12,13.38,14.06,14.02
1981,January,19,13.3,14.05,14.06
1981,January,26,13.29,13.95,13.95
1981,February,2,13.19,13.83,13.83
1981,February,9,13.29,13.89,13.9
1981,February,16,13.24,13.92,13.94
1981,February,23,12.97,13.83,13.93
1981,March,2,13.03,13.87,13.97
1981,March,9,13.15,13.95,14.03
1981,March,16,12.85,13.59,13.63
,,,,,
"NEEDS BETTER TITLE",,,,,
SOURCE?,,,,,
"What is last working day?",,,,,
