"4.12 Interest Rate, Security Prices, and Yields percentage rate",,,,,,,,,,1
Year,Type,"Bank of England's minimum lending rate to the market","Treasury bill yield","Eurodollar 3-month rate","Building Societies Association recommended rate on shares","British government securities: long-dated (20 years)",,,,
1969,"Last Friday",8,7.8,—,—,—,,,,
1969,"Last working day",—,—,10.07,5,—,,,,
1969,"Average of working days",—,—,—,—,9.05,,,,
1970,"Last Friday",7,6.93,—,—,—,,,,
1970,"Last working day",—,—,6.57,5,—,,,,
1970,"Average of working days",—,—,—,—,9.25,,,,
1971,"Last Friday",5,4.46,—,—,—,,,,
1971,"Last working day",—,—,5.75,5,—,,,,
1971,"Average of working days",—,—,—,—,8.9,,,,
1972,"Last Friday",9,8.48,—,—,—,,,,
1972,"Last working day",—,—,5.91,5.25,—,,,,
1972,"Average of working days",—,—,—,—,8.97,,,,
1973,"Last Friday",13,12.82,—,—,—,,,,
1973,"Last working day",—,—,10.19,7.5,—,,,,
1973,"Average of working days",—,—,—,—,10.78,,,,
1974,"Last Friday",11.5,11.3,—,—,—,,,,
1974,"Last working day",—,—,10.07,7.5,—,,,,
1974,"Average of working days",—,—,—,—,14.77,,,,
1975,"Last Friday",11.25,10.93,—,—,—,,,,
1975,"Last working day",—,—,5.88,7,—,,,,
1975,"Average of working days",—,—,—,—,14.39,,,,
1976,"Last Friday",14.25,13.98,—,—,—,,,,
1976,"Last working day",—,—,5.07,7.8,—,,,,
1976,"Average of working days",—,—,—,—,14.43,,,,
1977,"Last Friday",7,6.39,—,—,—,,,,
1977,"Last working day",—,—,7.19,6,—,,,,
1977,"Average of working days",—,—,—,—,12.73,,,,
1978,"Last Friday",12.5,11.91,—,—,—,,,,
1978,"Last working day",—,—,11.69,8,—,,,,
1978,"Average of working days",—,—,—,—,12.47,,,,
1979,"Last Friday",17,16.49,—,—,—,,,,
1979,"Last working day",—,—,14.5,10.5,—,,,,
1979,"Average of working days",—,—,—,—,12.99,,,,
1980,"Last Friday",14,13.45,—,—,—,,,,
1980,"Last working day",—,—,17.75,10.5,—,,,,
1980,"Average of working days",—,—,—,—,—,,,,
,,,,,,,,,,
,,,,,,,,,,
SOURCE?,,,,,,,,,,
