"Table 4.3 GDP at Factor Cost and Final Expenditures on Good and Services at Market Prices, in £ million, current prices",,,,,,,,,,,,
Year,"GDP at current prices based on expenditure data","GDP at 1975 prices based on expenditure data","Implicit price deflator 1975=100 (column 1 divided by column 2) x 100","GDP at market prices","Consumers' expenditure","General government final consumption","Gross domestic fixed capital formation","Value of physical increase in stock and work in progress","Exports of goods and services","Imports of goods and services","Taxes on expenditure",Subsidies
1970,43532,85402,50.97,51065,31778,8991,9470,421,11551,11146,8417,884
1971,49442,87572,56.46,57291,35599,10250,10517,158,12960,12193,8788,939
1972,55276,88719,62.3,63390,40183,11675,11606,44,13653,13771,9627,1153
1973,64258,95506,67.28,72936,47759,13380,14238,1448,17124,19013,10121,1443
1974,74414,94527,78.72,82879,52849,16609,16867,1304,22985,27375,11469,3004
1975,93954,93954,100,104413,64424,23074,20417,1534,27011,28979,14162,3703
1976,111245,97971,113.55,124330,74751,26779,23599,864,35211,36874,16553,3468
1977,126111,98993,127.39,143064,85474,26209,25739,1860,43352,42570,20252,3299
1978,144442,101929,141.71,164034,98395,32934,26695,1070,47442,45502,23253,3661
1979,163647,102563,159.56,189702,114805,38316,33646,2760,54676,54501,30361,4306
,,,,,,,,,,,,
"SOURCE? ",,,,,,,,,,,,
