"Table 4.4 Exchange, Price, and Balance",,,,,,,,
Year,"Month Beginning","Month Ending",Quarter,Month,"Current balance (million £)","Exchange rate ($/£)","Retail price Index (1975=100)","Retail price percentage increase on one year earlier"
1970,—,—,—,—,799,2.396,54.2,6.4
1971,—,—,—,—,1076,2.444,59.3,9.4
1972,—,—,—,—,189,2.502,63.6,7.1
1973,—,—,—,—,-1056,2.453,69.4,9.2
1974,—,—,—,—,-3380,2.34,80.5,16.1
1975,—,—,—,—,-1674,2.22,100,24.2
1976,—,—,—,—,-1060,1.805,116.5,16.5
1977,—,—,—,—,-206,1.746,135,15.8
1978,—,—,—,—,707,1.92,146.2,8.3
1979,—,—,—,—,-1630,2.122,165.8,13.4
1980,—,—,—,—,-2737,2.328,195.6,18
1976,April,June,1,—,106,1.998,110.9,22.5
1976,July,September,2,—,-352,1.805,114.9,16
1976,October,December,3,—,-436,1.766,117.6,13.7
1976,January,March,4,—,-378,1.651,123,15
1977,April,June,1,—,-362,1.714,129.2,16.5
1977,July,September,2,—,-431,1.719,134.9,17.4
1977,October,December,3,—,307,1.735,137,16.5
1977,January,March,4,—,280,1.813,139,13
1978,April,June,1,—,-194,1.928,141.4,9.5
1978,July,September,2,—,417,1.835,145.3,7.6
1978,October,December,3,—,87,1.932,147.8,7.9
1978,January,March,4,—,397,1.984,150.3,8.1
1979,April,June,1,—,-692,2.016,155,9.6
1979,July,September,2,—,-192,2.081,160.7,10.6
1979,October,December,3,—,-189,2.234,171.4,16
1979,January,March,4,—,-557,2.157,176.2,17.3
1980,April,June,1,—,70,2.254,184.6,19.1
1980,July,September,2,—,-88,2.286,195.3,21.5
1980,October,December,3,—,870,2.382,199.4,16.4
1980,January,March,4,—,1885,2.387,203.2,15.3
1981,January,January,—,January,1042,2.405,205.7,13
1981,February,February,—,February,614,2.294,207.6,12.5
,,,,,,,,
"NEEDS BETTER TITLE MORE INFORMATIVE",,,,,,,,
SOURCE?,,,,,,,,
