"Table 4.5 Output and Unemployment",,,,,,,
Year,"Month  Beginning","Month Ending",Quarter,"GDP (at 1975 factor cost, £ million seasonally adjusted)","Industrial production - All industries (1975=100, seasonally adjusted)"," Industrial production -manufacturing (1975=100, seasonally adjusted)","Unemployment rate"
1970,—,—,—,85402,99.7,98,2.4
1971,—,—,—,87572,99.8,97.5,3.1
1972,—,—,—,88719,102,100,3.4
1973,—,—,—,95506,109.5,108.4,2.4
1974,—,—,—,94527,105.1,106.6,2.3
1975,—,—,—,93954,100,100,3.6
1976,—,—,—,97971,102,101.5,4.9
1977,—,—,—,98993,105.9,103,5.2
1978,—,—,—,101929,109.8,103.9,5.2
1979,—,—,—,102973,112.6,104.2,5
1976,April,June,1,24486,100.4,99.4,5.1
1976,July,September,2,24156,101.8,101.7,5.3
1976,October,December,3,24518,101.4,101.6,5.4
1976,January,March,4,24811,104.4,103.2,—
1977,April,June,1,24397,106.2,104.5,5.5
1977,July,September,2,24660,105.5,102.5,5.6
1977,October,December,3,24677,105.9,102.7,5.8
1977,January,March,4,25259,106.1,102.4,5.9
1978,April,June,1,25156,107.6,102.9,5.8
1978,July,September,2,25602,110.6,104.5,5.8
1978,October,December,3,25507,111,104.9,5.7
1978,January,March,4,25664,110,103.1,5.4
1979,April,June,1,25175,110.1,102.3,5.6
1979,July,September,2,26287,115,107.3,5.4
1979,October,December,3,25655,112.7,103.2,5.2
1979,January,March,4,25856,112.6,104.2,5.3
1980,April,June,1,25596,110,100,5.7
1980,July,September,2,25445,106.6,96.8,6.2
1980,October,December,3,24991,102.9,93.3,7
1980,January,March,4,—,100.2,89.1,8.4
,,,,,,,
SOURCE?,,,,,,,
