"Table 4.6 Gross Domestic Fixed Capital Formation by Sector",,,,,,,
Year,"Month Beginning","Month Ending",Quarter,Total,"Private sector","General government","Public corporations"
1969,—,—,—,18954,10390,5385,3201
1970,—,—,—,19460,10685,5475,3316
1971,—,—,—,19743,11099,5297,3334
1972,—,—,—,19823,11776,5076,2932
1973,—,—,—,21195,12267,5793,3135
1974,—,—,—,20616,11641,5418,3557
1975,—,—,—,20417,11530,4974,3913
1976,—,—,—,20636,11811,4786,4039
1977,—,—,—,20089,12438,3964,3687
1978,—,—,—,20802,13793,3520,3489
1979,—,—,—,20506,13761,3352,3393
1975,April,June,1,5112,2916,1239,957
1975,July,September,2,5086,2846,1306,934
1975,October,December,3,5178,2986,1165,1027
1975,January,March,4,5041,2782,1264,995
1976,April,June,1,5226,2844,1280,1102
1976,July,September,2,5158,2920,1226,1012
1976,October,December,3,5203,3097,1156,950
1976,January,March,4,5049,2950,1124,975
1977,April,June,1,4883,2892,1079,912
1977,July,September,2,5065,3149,988,928
1977,October,December,3,4997,3119,953,925
1977,January,March,4,5144,3278,944,922
1978,April,June,1,5287,3493,938,856
1978,July,September,2,5282,3499,899,894
1978,October,December,3,5136,3401,868,867
1978,January,March,4,5097,3400,825,872
1979,April,June,1,4998,3318,818,862
1979,July,September,2,5052,3401,820,831
1979,October,December,3,5182,3436,882,864
1979,January,March,4,5274,3606,832,836
1980,April,June,1,5169,3547,765,857
1980,July,September,2,5058,3429,741,888
1980,October,December,3,4923,3357,719,847
1980,January,March,4,—,—,—,—
,,,,,,,
SOURCE?,,,,,,,
