"Table 4.7 Money Supply in the United Kingdom in £ million: amounts outstanding",,,,,,
Year,"Month Beginning","Month Ending","End of Quarter","M1, Seasonally adjusted","Sterling M3, Seasonally adjusted","M3, Seasonally adjusted"
1970,April,June,1,8640,16000,16450
1970,July,September,2,8920,16460,16980
1970,October,December,3,9020,16830,17350
1970,January,March,4,9420,17300,17810
1971,April,June,1,9820,18020,18510
1971,July,September,2,9900,18270,18780
1971,October,December,3,10210,18670,19180
1971,January,March,4,10310,19530,19960
1972,April,June,1,11200,21140,21670
1972,July,September,2,11680,22480,23090
1972,October,December,3,11750,23320,23970
1972,January,March,4,12240,24720,25520
1973,April,June,1,12280,26290,27390
1973,July,September,2,13130,27650,28720
1973,October,December,3,12660,29620,30940
1973,January,March,4,13040,31450,32880
1974,April,June,1,12870,32730,34520
1974,July,September,2,13370,32810,34940
1974,October,December,3,13510,33490,35940
1974,January,March,4,14330,34610,37100
1975,April,June,1,14880,35560,38120
1975,July,September,2,16080,35840,38100
1975,October,December,3,16770,37030,39780
1975,January,March,4,17070,36920,40010
1976,April,June,1,17940,37960,41160
1976,July,September,2,18530,33790,42210
1976,October,December,3,19100,40300,44310
1976,January,March,4,18980,40380,44470
1977,April,June,1,19540,40720,45070
1977,July,September,2,20530,41740,46220
1977,October,December,3,22020,42990,47390
1977,January,March,4,23180,44540,48950
1978,April,June,1,24350,46880,51480
1978,July,September,2,25090,48230,53260
1978,October,December,3,26010,49560,54480
1978,January,March,4,27020,51310,56350
1979,April,June,1,27580,52370,57150
1979,July,September,2,28250,54380,59290
1979,October,December,3,28950,56210,61040
1979,January,March,4,29460,57830,63270
1980,April,June,1,29370,59250,65110
1980,July,September,2,30110,62570,68140
1980,October,December,3,29780,65340,71200
1980,January,March,4,30520,68350,74870
,,,,,,
SOURCE?,,,,,,
