"Table 4.8 General Government Receipts and Expenditure in £ million",,,,,,,,,,,,
Year,"Month Beginning","Month Ending",Quarter,"Receipts: Taxes national insurance, etc., contributionscontributions","Receipts: Trading in come rent, interest, etc.","Expenditures: Final consumption","Expenditures: Gross domestic capital  formation","Expenditures: Current and capital transfers: Current grants and subsidies","Expenditures: Capital transfers","Expenditures: Debt interest","Expenditures: Net lending, etc.<s>a</s>","Expenditure: Total"
1975,—,—,—,38547,4439,23074,5064,14353,1196,4211,3755,51653
1976,—,—,—,44724,5223,26779,5483,17015,1435,5394,2365,58471
1977,—,—,—,51008,5909,29209,4935,19502,1537,6373,251,61807
1978,—,—,—,56704,6488,32934,4741,23239,2027,7224,1687,71852
1979,—,—,—,68053,7353,38316,5239,27348,1901,8829,3273,84906
1977,April,June,1,12700,1527,7040,1565,4742,470,1832,433,16082
1977,July,September,2,12371,1371,7257,1007,4833,363,1314,-178,14596
1977,October,December,3,12822,1697,7368,1171,4847,328,1747,88,15549
1977,January,March,4,13115,1314,7544,1192,5080,376,1480,-92,15580
1978,April,June,1,14116,1720,7972,1483,5658,693,1995,74,17875
1978,July,September,2,13539,1512,8073,962,5725,413,1455,439,17067
1978,October,December,3,13897,1702,8252,1145,5783,442,1951,729,18302
1978,January,March,4,15152,1554,8637,1151,6073,479,1823,445,18608
1979,April,June,1,16032,1917,8875,1500,6522,504,2330,554,20285
1979,July,September,2,16387,1722,9316,1023,6855,454,1877,670,20195
1979,October,December,3,17250,1962,9896,1356,6617,443,2523,1054,21889
1979,January,March,4,18384,1752,10229,1360,7354,500,2099,995,22537
1980,April,June,1,20845,2045,10872,1700,7747,576,3149,152,24196
1980,July,September,2,18713,2136,11656,1144,8145,521,2209,1444,25119
1980,October,December,3,21811,2157,12386,1415,8075,618,3299,1185,26978
1980,January,March,4,—,—,—,—,—,—,—,—,—
,,,,,,,,,,,,
SOURCE?,,,,,,,,,,,,
"Note: An article describing the new presentation of government income",,,,,,,,,,,,
"and expenditure was published in the March 1977 issue of Economic",,,,,,,,,,,,
Trends.,,,,,,,,,,,,
"Note: <s>a</s> Net lending to public corporations, private sector and overseas; cash
expenditure on company securities, etc. (net).",,,,,,,,,,,,
