"Table 4.9 Financial Transactions of the Public Sector in £ million",,,,,,,,,,,,,,
Year,"Month Beginning","Month Ending",Quarter,"Financial deficit: Total","Financial deficit: General government","Financial deficit: Public corporations","Net lending etc., to private sector and overseas",Total,"Receipts: Public sector borrowing requirement:Financial transactions (net receipts)","Receipts: Public sector borrowing requirement: Total","Receipts: Public sector borrowing requirement: Contributions by central government","Receipts: Contribution by local authorities","Receipts: Contributions by public corporations","Receipts: Seasonally adjusted total"
1971,—,—,—,300,-786,1086,620,920,-483,1403,637,676,90,1403
1972,—,—,—,1547,804,743,558,2105,55,2050,1600,514,-64,2050
1973,—,—,—,2764,1997,767,880,3644,-547,4191,2331,1348,512,4191
1974,—,—,—,4695,3165,1530,1697,6392,-41,6433,3523,2161,749,6433
1975,—,—,—,7705,4912,2793,1833,9538,-946,10484,8345,1629,510,10484
1976,—,—,—,8413,6159,2254,1286,9699,572,9127,6786,1103,1238,9127
1977,—,—,—,5868,4639,1229,126,5994,-1,5995,4469,183,1343,5995
1978,—,—,—,8048,6973,1075,467,8515,184,8331,8371,659,-699,8331
1979,—,—,—,8344,6227,2117,432,8776,-3788,12564,10396,1732,436,12564
1979,April,June,1,2329,1782,547,167,2496,1031,1465,247,1003,215,2117
1979,July,September,2,1823,1416,407,224,2047,-1298,3345,3797,-267,-185,3006
1979,October,December,3,2636,1623,1013,104,2740,-1085,3825,2842,666,317,3893
1979,January,March,4,1556,1406,150,-63,1493,-2436,3929,3510,330,89,3548
1980,April,June,1,1700,1226,474,-128,1572,2771,-1199,-1950,1397,-646,131
1980,July,September,2,3543,2646,897,490,4033,-802,4835,4587,574,-326,4122
,,,,,,,,,,,,,,
SOURCE?,,,,,,,,,,,,,,
